   323    17    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 experimental data for Pd 3d3/2 from W(100)  excited with hv=1810eV
 
 provided by Pancotti et al. (LNLS in 29, May 2007) 
   intial angular momentum (l) = 2
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K
 
   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      18     720       1      18      40     720
       1      40      16.6600      18.0000      1.00000      0.00000
      111.000      114644.      117252.   -0.0222434
      114.000      112523.      117252.   -0.0403335
      117.000      112117.      117252.   -0.0437911
      120.000      114169.      117252.   -0.0262946
      123.000      117536.      117252.   0.00242724
      126.000      121711.      117252.    0.0380322
      129.000      124247.      117252.    0.0596627
      132.000      124841.      117252.    0.0647231
      135.000      123913.      117252.    0.0568065
      138.000      122538.      117252.    0.0450850
      141.000      121271.      117252.    0.0342811
      144.000      120344.      117252.    0.0263737
      147.000      118449.      117252.    0.0102055
      150.000      117436.      117252.   0.00156804
      153.000      115782.      117252.   -0.0125323
      156.000      114873.      117252.   -0.0202860
      159.000      112974.      117252.   -0.0364857
      162.000      110201.      117252.   -0.0601361
      165.000      107904.      117252.   -0.0797250
      168.000      106806.      117252.   -0.0890887
      171.000      107915.      117252.   -0.0796285
      174.000      112105.      117252.   -0.0438988
      177.000      116667.      117252.  -0.00498735
      180.000      120508.      117252.    0.0277698
      183.000      119882.      117252.    0.0224334
      186.000      117191.      117252. -0.000520784
      189.000      114086.      117252.   -0.0269974
      192.000      113896.      117252.   -0.0286170
      195.000      116115.      117252.  -0.00969503
      198.000      119042.      117252.    0.0152658
      201.000      122042.      117252.    0.0408523
      204.000      123393.      117252.    0.0523775
      207.000      124043.      117252.    0.0579212
      210.000      123011.      117252.    0.0491190
      213.000      122125.      117252.    0.0415604
      216.000      121082.      117252.    0.0326691
      219.000      120057.      117252.    0.0239249
      222.000      117401.      117252.   0.00127383
      225.000      113592.      117252.   -0.0312128
      228.000      108927.      117252.   -0.0709971
       2      40      16.6600      21.0000      1.00000      0.00000
      111.000      113018.      109661.    0.0306163
      114.000      108995.      109661.  -0.00606764
      117.000      106896.      109661.   -0.0252102
      120.000      106425.      109661.   -0.0295091
      123.000      108047.      109661.   -0.0147131
      126.000      109546.      109661.  -0.00104732
      129.000      110854.      109661.    0.0108864
      132.000      109746.      109661.  0.000776949
      135.000      107551.      109661.   -0.0192373
      138.000      105742.      109661.   -0.0357329
      141.000      106097.      109661.   -0.0324974
      144.000      109758.      109661.  0.000888598
      147.000      114254.      109661.    0.0418823
      150.000      118055.      109661.    0.0765471
      153.000      119359.      109661.    0.0884351
      156.000      118922.      109661.    0.0844525
      159.000      117661.      109661.    0.0729583
      162.000      115972.      109661.    0.0575516
      165.000      113502.      109661.    0.0350284
      168.000      109365.      109661.  -0.00269796
      171.000      103586.      109661.   -0.0553933
      174.000      97124.0      109661.    -0.114323
      177.000      93065.9      109661.    -0.151328
      180.000      92489.2      109661.    -0.156587
      183.000      96011.7      109661.    -0.124465
      186.000      101193.      109661.   -0.0772195
      189.000      107242.      109661.   -0.0220557
      192.000      111919.      109661.    0.0205975
      195.000      115668.      109661.    0.0547836
      198.000      118064.      109661.    0.0766342
      201.000      119290.      109661.    0.0878064
      204.000      119799.      109661.    0.0924560
      207.000      118168.      109661.    0.0775764
      210.000      115776.      109661.    0.0557699
      213.000      111810.      109661.    0.0196000
      216.000      108326.      109661.   -0.0121673
      219.000      106000.      109661.   -0.0333802
      222.000      106330.      109661.   -0.0303742
      225.000      106996.      109661.   -0.0243008
      228.000      107112.      109661.   -0.0232380
       3      40      16.6600      24.0000      1.00000      0.00000
      111.000      112466.      107261.    0.0485285
      114.000      108786.      107261.    0.0142265
      117.000      105951.      107261.   -0.0122055
      120.000      104337.      107261.   -0.0272538
      123.000      103568.      107261.   -0.0344222
      126.000      104755.      107261.   -0.0233618
      129.000      105985.      107261.   -0.0118961
      132.000      106248.      107261.  -0.00943755
      135.000      104414.      107261.   -0.0265397
      138.000      103397.      107261.   -0.0360234
      141.000      104728.      107261.   -0.0236126
      144.000      107557.      107261.   0.00276070
      147.000      109766.      107261.    0.0233544
      150.000      111399.      107261.    0.0385797
      153.000      112757.      107261.    0.0512454
      156.000      114205.      107261.    0.0647411
      159.000      114983.      107261.    0.0719992
      162.000      116672.      107261.    0.0877434
      165.000      116445.      107261.    0.0856279
      168.000      114484.      107261.    0.0673472
      171.000      107043.      107261.  -0.00202697
      174.000      98501.3      107261.   -0.0816633
      177.000      91041.0      107261.    -0.151216
      180.000      88392.6      107261.    -0.175907
      183.000      91412.4      107261.    -0.147754
      186.000      97839.3      107261.   -0.0878351
      189.000      106508.      107261.  -0.00701726
      192.000      111804.      107261.    0.0423567
      195.000      114541.      107261.    0.0678784
      198.000      114422.      107261.    0.0667645
      201.000      114355.      107261.    0.0661466
      204.000      113627.      107261.    0.0593567
      207.000      112771.      107261.    0.0513765
      210.000      112015.      107261.    0.0443262
      213.000      109744.      107261.    0.0231516
      216.000      105839.      107261.   -0.0132502
      219.000      102521.      107261.   -0.0441854
      222.000      102508.      107261.   -0.0443114
      225.000      104869.      107261.   -0.0222971
      228.000      107725.      107261.   0.00433238
