   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of SrTiO3(100)-2p
 calculated by Yosef on Jan 24, 2025

   initial angular momentum (li) = 1   msorder=  8   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  15.0,  10.0 and   3.90 angstrom
   cluster size= 370 atoms and spacings=  0.23  1.54  0.00  0.00 angs
   inner potential=  8.0 V  debye and sample temperature=  71, 300 K
   number of valence electrons=   8     bandgap energy=   0.00 eV
   density of bulk=   7.87 g/cm3     molecular weight= 207.33 amu
   effective weight for kind 1-4 =   55.8   87.6   47.9   16.0 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    14   434    1   14   31  434  ncurve npoint nk ntheta nphi nangle
   1    31  14.31   33.0    1.0    0.0   ----------------------------
   41.0    1.6702e-03    1.6037e-03    4.1462e-02    3.1042e-03
   44.0    1.6999e-03    1.6037e-03    6.0004e-02    5.1422e-03
   47.0    1.6930e-03    1.6037e-03    5.5698e-02    6.0804e-03
   50.0    1.6518e-03    1.6037e-03    3.0015e-02    1.5460e-03
   53.0    1.5710e-03    1.6037e-03   -2.0369e-02   -1.7336e-03
   56.0    1.4882e-03    1.6037e-03   -7.2012e-02   -5.8600e-03
   59.0    1.4147e-03    1.6037e-03   -1.1782e-01   -3.2960e-03
   62.0    1.3825e-03    1.6037e-03   -1.3792e-01   -6.7164e-03
   65.0    1.3736e-03    1.6037e-03   -1.4346e-01   -7.0932e-03
   68.0    1.4111e-03    1.6037e-03   -1.2009e-01   -1.6287e-02
   71.0    1.4971e-03    1.6037e-03   -6.6449e-02   -1.1751e-02
   74.0    1.5548e-03    1.6037e-03   -3.0501e-02   -9.6650e-03
   77.0    1.6105e-03    1.6037e-03    4.2865e-03    7.9009e-03
   80.0    1.6458e-03    1.6037e-03    2.6275e-02    8.1987e-03
   83.0    1.6781e-03    1.6037e-03    4.6435e-02    1.2098e-02
   86.0    1.7327e-03    1.6037e-03    8.0457e-02    9.3598e-03
   89.0    1.7349e-03    1.6037e-03    8.1843e-02    1.5739e-02
   92.0    1.7301e-03    1.6037e-03    7.8859e-02    1.5328e-02
   95.0    1.7091e-03    1.6037e-03    6.5716e-02    1.3618e-02
   98.0    1.6663e-03    1.6037e-03    3.9064e-02    8.7607e-03
  101.0    1.5986e-03    1.6037e-03   -3.1890e-03    1.9600e-03
  104.0    1.5703e-03    1.6037e-03   -2.0835e-02   -3.8686e-03
  107.0    1.5656e-03    1.6037e-03   -2.3720e-02   -1.4214e-02
  110.0    1.5589e-03    1.6037e-03   -2.7941e-02   -1.6803e-02
  113.0    1.5698e-03    1.6037e-03   -2.1140e-02   -1.2676e-02
  116.0    1.6047e-03    1.6037e-03    6.6781e-04   -1.0290e-02
  119.0    1.6239e-03    1.6037e-03    1.2612e-02   -5.8819e-03
  122.0    1.6451e-03    1.6037e-03    2.5834e-02   -5.0908e-03
  125.0    1.6758e-03    1.6037e-03    4.4980e-02    1.9394e-03
  128.0    1.6872e-03    1.6037e-03    5.2113e-02    8.1195e-03
  131.0    1.6985e-03    1.6037e-03    5.9128e-02    1.2329e-02
   2    31  14.31   36.0    1.0    0.0   ----------------------------
   41.0    1.3551e-03    1.4572e-03   -7.0081e-02   -2.7718e-03
   44.0    1.3814e-03    1.4572e-03   -5.1980e-02    7.3494e-04
   47.0    1.3774e-03    1.4572e-03   -5.4756e-02    6.0242e-03
   50.0    1.3464e-03    1.4572e-03   -7.6005e-02    2.3029e-03
   53.0    1.3212e-03    1.4572e-03   -9.3323e-02    3.8987e-03
   56.0    1.3193e-03    1.4572e-03   -9.4635e-02    2.5493e-03
   59.0    1.3419e-03    1.4572e-03   -7.9113e-02   -7.2133e-04
   62.0    1.4012e-03    1.4572e-03   -3.8411e-02   -7.2975e-03
   65.0    1.4497e-03    1.4572e-03   -5.1652e-03   -1.0496e-02
   68.0    1.4732e-03    1.4572e-03    1.0981e-02   -9.0570e-03
   71.0    1.4751e-03    1.4572e-03    1.2313e-02   -4.9885e-03
   74.0    1.4358e-03    1.4572e-03   -1.4660e-02   -5.9065e-03
   77.0    1.4230e-03    1.4572e-03   -2.3473e-02   -1.5394e-04
   80.0    1.4364e-03    1.4572e-03   -1.4278e-02    5.6158e-03
   83.0    1.4650e-03    1.4572e-03    5.3536e-03    1.1736e-02
   86.0    1.5099e-03    1.4572e-03    3.6189e-02    1.3435e-02
   89.0    1.5410e-03    1.4572e-03    5.7544e-02    1.0596e-02
   92.0    1.5380e-03    1.4572e-03    5.5466e-02    6.7110e-03
   95.0    1.4993e-03    1.4572e-03    2.8887e-02    8.0899e-04
   98.0    1.4415e-03    1.4572e-03   -1.0790e-02   -3.9120e-03
  101.0    1.3917e-03    1.4572e-03   -4.4966e-02   -7.6427e-03
  104.0    1.3681e-03    1.4572e-03   -6.1158e-02   -8.3040e-03
  107.0    1.4123e-03    1.4572e-03   -3.0783e-02   -4.3132e-03
  110.0    1.4809e-03    1.4572e-03    1.6310e-02   -5.5952e-04
  113.0    1.5519e-03    1.4572e-03    6.4976e-02   -4.1757e-04
  116.0    1.5865e-03    1.4572e-03    8.8717e-02    7.1002e-04
  119.0    1.5843e-03    1.4572e-03    8.7235e-02   -5.0513e-04
  122.0    1.5610e-03    1.4572e-03    7.1226e-02    2.3088e-03
  125.0    1.5586e-03    1.4572e-03    6.9582e-02   -6.1866e-03
  128.0    1.5712e-03    1.4572e-03    7.8263e-02   -3.1619e-03
  131.0    1.5745e-03    1.4572e-03    8.0540e-02    8.9680e-03
   3    31  14.31   39.0    1.0    0.0   ----------------------------
   41.0    1.3109e-03    1.4549e-03   -9.8999e-02   -2.0056e-02
   44.0    1.3306e-03    1.4549e-03   -8.5453e-02    3.7725e-03
   47.0    1.3236e-03    1.4549e-03   -9.0245e-02    1.3499e-02
   50.0    1.3480e-03    1.4549e-03   -7.3473e-02    1.3875e-02
   53.0    1.3140e-03    1.4549e-03   -9.6859e-02    1.1491e-02
   56.0    1.3668e-03    1.4549e-03   -6.0593e-02    7.1567e-03
   59.0    1.4393e-03    1.4549e-03   -1.0771e-02    2.6543e-04
   62.0    1.5251e-03    1.4549e-03    4.8227e-02   -8.5644e-03
   65.0    1.5766e-03    1.4549e-03    8.3609e-02   -1.3468e-02
   68.0    1.5293e-03    1.4549e-03    5.1106e-02   -1.4614e-02
   71.0    1.4479e-03    1.4549e-03   -4.8231e-03   -1.4863e-02
   74.0    1.3515e-03    1.4549e-03   -7.1073e-02   -7.4584e-03
   77.0    1.3494e-03    1.4549e-03   -7.2562e-02    1.4945e-03
   80.0    1.3986e-03    1.4549e-03   -3.8733e-02   -9.7710e-04
   83.0    1.4928e-03    1.4549e-03    2.6022e-02    2.4500e-04
   86.0    1.5970e-03    1.4549e-03    9.7664e-02    5.3324e-03
   89.0    1.6440e-03    1.4549e-03    1.2993e-01    1.9300e-02
   92.0    1.6350e-03    1.4549e-03    1.2376e-01    1.5403e-02
   95.0    1.5597e-03    1.4549e-03    7.2013e-02    8.8049e-03
   98.0    1.4671e-03    1.4549e-03    8.3730e-03   -1.1573e-03
  101.0    1.3668e-03    1.4549e-03   -6.0586e-02   -6.7856e-04
  104.0    1.3340e-03    1.4549e-03   -8.3103e-02   -2.1186e-03
  107.0    1.3672e-03    1.4549e-03   -6.0274e-02   -2.3207e-03
  110.0    1.4678e-03    1.4549e-03    8.8297e-03   -5.9719e-03
  113.0    1.5489e-03    1.4549e-03    6.4598e-02   -6.5078e-03
  116.0    1.5778e-03    1.4549e-03    8.4479e-02   -3.5371e-03
  119.0    1.5402e-03    1.4549e-03    5.8623e-02   -3.1239e-03
  122.0    1.5041e-03    1.4549e-03    3.3783e-02   -3.7643e-03
  125.0    1.4777e-03    1.4549e-03    1.5677e-02   -6.4629e-04
  128.0    1.4657e-03    1.4549e-03    7.4283e-03    5.0128e-03
  131.0    1.4454e-03    1.4549e-03   -6.5722e-03    4.1769e-03
   4    31  14.31   42.0    1.0    0.0   ----------------------------
   41.0    1.2967e-03    1.5147e-03   -1.4390e-01    1.0168e-02
   44.0    1.2134e-03    1.5147e-03   -1.9890e-01    8.0147e-03
   47.0    1.2388e-03    1.5147e-03   -1.8211e-01    2.2814e-03
   50.0    1.2973e-03    1.5147e-03   -1.4352e-01   -1.2264e-03
   53.0    1.3887e-03    1.5147e-03   -8.3190e-02   -1.0988e-02
   56.0    1.5062e-03    1.5147e-03   -5.5732e-03   -1.5191e-02
   59.0    1.6314e-03    1.5147e-03    7.7031e-02   -1.5519e-02
   62.0    1.6990e-03    1.5147e-03    1.2171e-01   -2.8253e-03
   65.0    1.7147e-03    1.5147e-03    1.3205e-01    3.1515e-03
   68.0    1.6164e-03    1.5147e-03    6.7156e-02    2.4601e-04
   71.0    1.4781e-03    1.5147e-03   -2.4179e-02   -3.2698e-03
   74.0    1.3629e-03    1.5147e-03   -1.0019e-01   -2.3327e-03
   77.0    1.3559e-03    1.5147e-03   -1.0481e-01    1.3429e-03
   80.0    1.4707e-03    1.5147e-03   -2.9039e-02    7.7585e-03
   83.0    1.6277e-03    1.5147e-03    7.4621e-02    1.2038e-02
