   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of SrTiO3(100)-2p
 calculated by Yosef on Aug 26, 2024

   initial angular momentum (li) = 1   msorder=  8   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  10.0,  15.0 and   3.90 angstrom
   cluster size= 351 atoms and spacings=  0.62  1.25  0.55  1.29 angs
   inner potential=  8.0 V  debye and sample temperature=  71, 300 K
   number of valence electrons=   8     bandgap energy=   0.00 eV
   density of bulk=   7.87 g/cm3     molecular weight= 207.33 amu
   effective weight for kind 1-4 =   55.8   87.6   47.9   16.0 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    14   434    1   14   31  434  ncurve npoint nk ntheta nphi nangle
   1    31  14.31   33.0    1.0    0.0   ----------------------------
   41.0    1.3188e-02    1.1312e-02    1.6590e-01    3.1042e-03
   44.0    1.3583e-02    1.1312e-02    2.0082e-01    5.1422e-03
   47.0    1.3609e-02    1.1312e-02    2.0307e-01    6.0804e-03
   50.0    1.3294e-02    1.1312e-02    1.7523e-01    1.5460e-03
   53.0    1.2496e-02    1.1312e-02    1.0474e-01   -1.7336e-03
   56.0    1.1321e-02    1.1312e-02    7.7975e-04   -5.8600e-03
   59.0    9.9985e-03    1.1312e-02   -1.1609e-01   -3.2960e-03
   62.0    8.8279e-03    1.1312e-02   -2.1958e-01   -6.7164e-03
   65.0    8.1901e-03    1.1312e-02   -2.7596e-01   -7.0932e-03
   68.0    7.8356e-03    1.1312e-02   -3.0730e-01   -1.6287e-02
   71.0    8.0712e-03    1.1312e-02   -2.8647e-01   -1.1751e-02
   74.0    8.8054e-03    1.1312e-02   -2.2157e-01   -9.6650e-03
   77.0    9.9050e-03    1.1312e-02   -1.2436e-01    7.9009e-03
   80.0    1.1684e-02    1.1312e-02    3.2903e-02    8.1987e-03
   83.0    1.3743e-02    1.1312e-02    2.1490e-01    1.2098e-02
   86.0    1.5253e-02    1.1312e-02    3.4839e-01    9.3598e-03
   89.0    1.6187e-02    1.1312e-02    4.3101e-01    1.5739e-02
   92.0    1.6037e-02    1.1312e-02    4.1774e-01    1.5328e-02
   95.0    1.4676e-02    1.1312e-02    2.9740e-01    1.3618e-02
   98.0    1.2909e-02    1.1312e-02    1.4117e-01    8.7607e-03
  101.0    1.1043e-02    1.1312e-02   -2.3724e-02    1.9600e-03
  104.0    9.5226e-03    1.1312e-02   -1.5816e-01   -3.8686e-03
  107.0    8.4714e-03    1.1312e-02   -2.5110e-01   -1.4214e-02
  110.0    7.9586e-03    1.1312e-02   -2.9642e-01   -1.6803e-02
  113.0    7.9285e-03    1.1312e-02   -2.9908e-01   -1.2676e-02
  116.0    8.2640e-03    1.1312e-02   -2.6943e-01   -1.0290e-02
  119.0    9.2144e-03    1.1312e-02   -1.8541e-01   -5.8819e-03
  122.0    1.0434e-02    1.1312e-02   -7.7594e-02   -5.0908e-03
  125.0    1.1813e-02    1.1312e-02    4.4295e-02    1.9394e-03
  128.0    1.2892e-02    1.1312e-02    1.3971e-01    8.1195e-03
  131.0    1.3508e-02    1.1312e-02    1.9420e-01    1.2329e-02
   2    31  14.31   36.0    1.0    0.0   ----------------------------
