   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of SrTiO3(100)-2p
 calculated by Yosef on Aug 19, 2024

   initial angular momentum (li) = 1   msorder=  8   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  10.0,  15.0 and   3.90 angstrom
   cluster size= 411 atoms and spacings=  0.00  0.00  1.80  1.52 angs
   inner potential=  8.0 V  debye and sample temperature= 162, 300 K
   number of valence electrons=   8     bandgap energy=   1.80 eV
   density of bulk=   7.87 g/cm3     molecular weight= 207.33 amu
   effective weight for kind 1-4 =   55.8   87.6   47.9   16.0 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    14   434    1   14   31  434  ncurve npoint nk ntheta nphi nangle
   1    31  14.31   33.0    1.0    0.0   ----------------------------
   41.0    1.6419e-02    1.3237e-02    2.4038e-01    3.1042e-03
   44.0    1.6956e-02    1.3237e-02    2.8090e-01    5.1422e-03
   47.0    1.6284e-02    1.3237e-02    2.3015e-01    6.0804e-03
   50.0    1.5173e-02    1.3237e-02    1.4625e-01    1.5460e-03
   53.0    1.3365e-02    1.3237e-02    9.6353e-03   -1.7336e-03
   56.0    1.1557e-02    1.3237e-02   -1.2696e-01   -5.8600e-03
   59.0    1.0004e-02    1.3237e-02   -2.4423e-01   -3.2960e-03
   62.0    8.9594e-03    1.3237e-02   -3.2318e-01   -6.7164e-03
   65.0    8.5784e-03    1.3237e-02   -3.5196e-01   -7.0932e-03
   68.0    8.3584e-03    1.3237e-02   -3.6858e-01   -1.6287e-02
   71.0    8.7377e-03    1.3237e-02   -3.3992e-01   -1.1751e-02
   74.0    1.0412e-02    1.3237e-02   -2.1345e-01   -9.6650e-03
   77.0    1.2728e-02    1.3237e-02   -3.8516e-02    7.9009e-03
   80.0    1.5065e-02    1.3237e-02    1.3803e-01    8.1987e-03
   83.0    1.7489e-02    1.3237e-02    3.2119e-01    1.2098e-02
   86.0    1.9598e-02    1.3237e-02    4.8047e-01    9.3598e-03
   89.0    2.0910e-02    1.3237e-02    5.7963e-01    1.5739e-02
   92.0    2.0583e-02    1.3237e-02    5.5493e-01    1.5328e-02
   95.0    1.8697e-02    1.3237e-02    4.1244e-01    1.3618e-02
   98.0    1.6800e-02    1.3237e-02    2.6912e-01    8.7607e-03
  101.0    1.4241e-02    1.3237e-02    7.5832e-02    1.9600e-03
  104.0    1.2043e-02    1.3237e-02   -9.0256e-02   -3.8686e-03
  107.0    9.8536e-03    1.3237e-02   -2.5562e-01   -1.4214e-02
  110.0    8.7501e-03    1.3237e-02   -3.3898e-01   -1.6803e-02
  113.0    8.4097e-03    1.3237e-02   -3.6470e-01   -1.2676e-02
  116.0    8.6102e-03    1.3237e-02   -3.4955e-01   -1.0290e-02
  119.0    9.2676e-03    1.3237e-02   -2.9989e-01   -5.8819e-03
  122.0    1.0584e-02    1.3237e-02   -2.0043e-01   -5.0908e-03
  125.0    1.2121e-02    1.3237e-02   -8.4361e-02    1.9394e-03
  128.0    1.4051e-02    1.3237e-02    6.1485e-02    8.1195e-03
  131.0    1.5754e-02    1.3237e-02    1.9012e-01    1.2329e-02
   2    31  14.31   36.0    1.0    0.0   ----------------------------
   41.0    1.4652e-02    1.2310e-02    1.9028e-01   -2.7718e-03
   44.0    1.4068e-02    1.2310e-02    1.4286e-01    7.3494e-04
   47.0    1.4171e-02    1.2310e-02    1.5120e-01    6.0242e-03
   50.0    1.4643e-02    1.2310e-02    1.8953e-01    2.3029e-03
   53.0    1.4033e-02    1.2310e-02    1.4002e-01    3.8987e-03
   56.0    1.2498e-02    1.2310e-02    1.5276e-02    2.5493e-03
   59.0    1.0736e-02    1.2310e-02   -1.2786e-01   -7.2133e-04
   62.0    8.8869e-03    1.2310e-02   -2.7805e-01   -7.2975e-03
   65.0    8.1027e-03    1.2310e-02   -3.4176e-01   -1.0496e-02
   68.0    7.8269e-03    1.2310e-02   -3.6417e-01   -9.0570e-03
   71.0    8.3400e-03    1.2310e-02   -3.2248e-01   -4.9885e-03
   74.0    9.5176e-03    1.2310e-02   -2.2682e-01   -5.9065e-03
   77.0    1.1277e-02    1.2310e-02   -8.3871e-02   -1.5394e-04
   80.0    1.3202e-02    1.2310e-02    7.2520e-02    5.6158e-03
   83.0    1.5456e-02    1.2310e-02    2.5560e-01    1.1736e-02
   86.0    1.6934e-02    1.2310e-02    3.7565e-01    1.3435e-02
   89.0    1.8437e-02    1.2310e-02    4.9777e-01    1.0596e-02
   92.0    1.8109e-02    1.2310e-02    4.7108e-01    6.7110e-03
   95.0    1.6777e-02    1.2310e-02    3.6290e-01    8.0899e-04
   98.0    1.4862e-02    1.2310e-02    2.0735e-01   -3.9120e-03
  101.0    1.2466e-02    1.2310e-02    1.2689e-02   -7.6427e-03
  104.0    1.0678e-02    1.2310e-02   -1.3252e-01   -8.3040e-03
  107.0    8.8557e-03    1.2310e-02   -2.8058e-01   -4.3132e-03
  110.0    8.2335e-03    1.2310e-02   -3.3113e-01   -5.5952e-04
  113.0    7.8350e-03    1.2310e-02   -3.6351e-01   -4.1757e-04
  116.0    8.2467e-03    1.2310e-02   -3.3006e-01    7.1002e-04
  119.0    9.4551e-03    1.2310e-02   -2.3189e-01   -5.0513e-04
  122.0    1.1469e-02    1.2310e-02   -6.8312e-02    2.3088e-03
  125.0    1.3110e-02    1.2310e-02    6.5048e-02   -6.1866e-03
  128.0    1.4274e-02    1.2310e-02    1.5957e-01   -3.1619e-03
  131.0    1.4447e-02    1.2310e-02    1.7367e-01    8.9680e-03
   3    31  14.31   39.0    1.0    0.0   ----------------------------
   41.0    1.4248e-02    1.3036e-02    9.3020e-02   -2.0056e-02
   44.0    1.3728e-02    1.3036e-02    5.3079e-02    3.7725e-03
   47.0    1.3929e-02    1.3036e-02    6.8513e-02    1.3499e-02
   50.0    1.4820e-02    1.3036e-02    1.3691e-01    1.3875e-02
   53.0    1.4519e-02    1.3036e-02    1.1375e-01    1.1491e-02
   56.0    1.2949e-02    1.3036e-02   -6.6426e-03    7.1567e-03
   59.0    1.0913e-02    1.3036e-02   -1.6287e-01    2.6543e-04
   62.0    9.5080e-03    1.3036e-02   -2.7062e-01   -8.5644e-03
   65.0    9.0764e-03    1.3036e-02   -3.0373e-01   -1.3468e-02
   68.0    8.7723e-03    1.3036e-02   -3.2705e-01   -1.4614e-02
   71.0    9.0658e-03    1.3036e-02   -3.0454e-01   -1.4863e-02
   74.0    1.0267e-02    1.3036e-02   -2.1243e-01   -7.4584e-03
   77.0    1.1887e-02    1.3036e-02   -8.8156e-02    1.4945e-03
   80.0    1.3446e-02    1.3036e-02    3.1471e-02   -9.7710e-04
   83.0    1.6804e-02    1.3036e-02    2.8912e-01    2.4500e-04
   86.0    1.9148e-02    1.3036e-02    4.6888e-01    5.3324e-03
   89.0    2.0879e-02    1.3036e-02    6.0172e-01    1.9300e-02
   92.0    2.0461e-02    1.3036e-02    5.6958e-01    1.5403e-02
   95.0    1.8272e-02    1.3036e-02    4.0171e-01    8.8049e-03
   98.0    1.5580e-02    1.3036e-02    1.9516e-01   -1.1573e-03
  101.0    1.3312e-02    1.3036e-02    2.1171e-02   -6.7856e-04
  104.0    1.1454e-02    1.3036e-02   -1.2137e-01   -2.1186e-03
  107.0    9.4666e-03    1.3036e-02   -2.7380e-01   -2.3207e-03
  110.0    9.2162e-03    1.3036e-02   -2.9300e-01   -5.9719e-03
  113.0    8.8111e-03    1.3036e-02   -3.2408e-01   -6.5078e-03
  116.0    9.1480e-03    1.3036e-02   -2.9823e-01   -3.5371e-03
  119.0    9.9181e-03    1.3036e-02   -2.3916e-01   -3.1239e-03
  122.0    1.1575e-02    1.3036e-02   -1.1203e-01   -3.7643e-03
  125.0    1.3617e-02    1.3036e-02    4.4602e-02   -6.4629e-04
  128.0    1.4757e-02    1.3036e-02    1.3204e-01    5.0128e-03
  131.0    1.4560e-02    1.3036e-02    1.1696e-01    4.1769e-03
   4    31  14.31   42.0    1.0    0.0   ----------------------------
   41.0    1.5059e-02    1.4206e-02    6.0060e-02    1.0168e-02
   44.0    1.4853e-02    1.4206e-02    4.5516e-02    8.0147e-03
   47.0    1.4983e-02    1.4206e-02    5.4708e-02    2.2814e-03
   50.0    1.6088e-02    1.4206e-02    1.3249e-01   -1.2264e-03
   53.0    1.5693e-02    1.4206e-02    1.0468e-01   -1.0988e-02
   56.0    1.3502e-02    1.4206e-02   -4.9544e-02   -1.5191e-02
   59.0    1.1827e-02    1.4206e-02   -1.6749e-01   -1.5519e-02
   62.0    1.0913e-02    1.4206e-02   -2.3178e-01   -2.8253e-03
   65.0    1.0163e-02    1.4206e-02   -2.8457e-01    3.1515e-03
   68.0    8.9043e-03    1.4206e-02   -3.7320e-01    2.4601e-04
   71.0    9.6810e-03    1.4206e-02   -3.1853e-01   -3.2698e-03
   74.0    1.1429e-02    1.4206e-02   -1.9552e-01   -2.3327e-03
   77.0    1.3412e-02    1.4206e-02   -5.5887e-02    1.3429e-03
   80.0    1.5120e-02    1.4206e-02    6.4359e-02    7.7585e-03
   83.0    1.7911e-02    1.4206e-02    2.6078e-01    1.2038e-02
   86.0    2.1040e-02    1.4206e-02    4.8109e-01    1.3179e-02
   89.0    2.3529e-02    1.4206e-02    6.5629e-01    1.5311e-02
   92.0    2.3147e-02    1.4206e-02    6.2934e-01    1.0737e-02
   95.0    2.0303e-02    1.4206e-02    4.2918e-01    7.2184e-03
   98.0    1.6533e-02    1.4206e-02    1.6379e-01   -4.4528e-03
  101.0    1.4468e-02    1.4206e-02    1.8422e-02   -8.7694e-03
  104.0    1.2421e-02    1.4206e-02   -1.2566e-01   -1.0042e-02
  107.0    1.0378e-02    1.4206e-02   -2.6948e-01   -8.9936e-03
  110.0    9.4025e-03    1.4206e-02   -3.3813e-01   -3.7287e-03
  113.0    9.2252e-03    1.4206e-02   -3.5062e-01   -3.8640e-03
  116.0    1.0591e-02    1.4206e-02   -2.5446e-01   -3.2039e-03
  119.0    1.1102e-02    1.4206e-02   -2.1851e-01   -8.3227e-03
  122.0    1.2228e-02    1.4206e-02   -1.3926e-01   -4.5142e-03
  125.0    1.4490e-02    1.4206e-02    1.9976e-02   -1.8786e-03
  128.0    1.6184e-02    1.4206e-02    1.3926e-01    6.2753e-03
  131.0    1.5807e-02    1.4206e-02    1.1271e-01    1.1385e-02
   5    31  14.31   45.0    1.0    0.0   ----------------------------
   41.0    1.3477e-02    1.2925e-02    4.2675e-02    9.6499e-03
   44.0    1.3843e-02    1.2925e-02    7.1046e-02    9.4217e-03
   47.0    1.3328e-02    1.2925e-02    3.1201e-02    1.5478e-03
   50.0    1.3162e-02    1.2925e-02    1.8301e-02   -7.9220e-03
   53.0    1.2640e-02    1.2925e-02   -2.2064e-02   -1.4284e-02
   56.0    1.1342e-02    1.2925e-02   -1.2248e-01   -1.7104e-02
   59.0    1.0919e-02    1.2925e-02   -1.5519e-01   -9.4452e-03
   62.0    1.1268e-02    1.2925e-02   -1.2818e-01   -1.0301e-03
   65.0    1.0798e-02    1.2925e-02   -1.6460e-01    7.3621e-03
   68.0    9.8397e-03    1.2925e-02   -2.3871e-01    9.3578e-03
   71.0    1.0338e-02    1.2925e-02   -2.0016e-01    9.3989e-03
   74.0    1.0467e-02    1.2925e-02   -1.9016e-01    1.3051e-03
   77.0    1.1526e-02    1.2925e-02   -1.0826e-01   -3.3701e-03
   80.0    1.3044e-02    1.2925e-02    9.2161e-03   -4.1743e-03
   83.0    1.5583e-02    1.2925e-02    2.0567e-01    8.5349e-03
   86.0    1.9544e-02    1.2925e-02    5.1210e-01    1.1771e-02
   89.0    2.1559e-02    1.2925e-02    6.6802e-01    9.7356e-03
   92.0    2.1064e-02    1.2925e-02    6.2972e-01    5.4778e-03
   95.0    1.8163e-02    1.2925e-02    4.0528e-01   -6.3702e-03
   98.0    1.4577e-02    1.2925e-02    1.2781e-01   -8.0644e-03
  101.0    1.2278e-02    1.2925e-02   -5.0082e-02   -8.1769e-03
  104.0    1.1088e-02    1.2925e-02   -1.4216e-01    5.6158e-04
  107.0    9.8107e-03    1.2925e-02   -2.4096e-01   -7.6727e-04
  110.0    9.9855e-03    1.2925e-02   -2.2743e-01   -2.8373e-04
  113.0    1.0197e-02    1.2925e-02   -2.1107e-01   -1.1060e-03
  116.0    1.0984e-02    1.2925e-02   -1.5019e-01   -5.6280e-03
  119.0    1.1133e-02    1.2925e-02   -1.3865e-01   -5.4558e-03
  122.0    1.0891e-02    1.2925e-02   -1.5737e-01   -4.1155e-03
  125.0    1.1917e-02    1.2925e-02   -7.7962e-02    5.8680e-03
  128.0    1.2936e-02    1.2925e-02    8.1193e-04    4.9522e-03
  131.0    1.2974e-02    1.2925e-02    3.8072e-03    2.3497e-03
   6    31  14.31   48.0    1.0    0.0   ----------------------------
   41.0    1.2176e-02    1.2787e-02   -4.7740e-02    4.4107e-03
   44.0    1.3171e-02    1.2787e-02    3.0004e-02    4.5571e-04
   47.0    1.2344e-02    1.2787e-02   -3.4629e-02   -6.2794e-04
   50.0    1.2836e-02    1.2787e-02    3.8096e-03    1.7697e-04
   53.0    1.2714e-02    1.2787e-02   -5.6799e-03   -3.4099e-04
   56.0    1.1596e-02    1.2787e-02   -9.3107e-02   -1.5199e-03
   59.0    1.0658e-02    1.2787e-02   -1.6647e-01   -1.6011e-03
   62.0    1.1059e-02    1.2787e-02   -1.3513e-01   -7.3124e-04
   65.0    1.1713e-02    1.2787e-02   -8.3989e-02   -1.4101e-03
   68.0    1.1570e-02    1.2787e-02   -9.5193e-02   -2.4945e-03
   71.0    1.1130e-02    1.2787e-02   -1.2959e-01   -7.3407e-03
   74.0    1.0551e-02    1.2787e-02   -1.7488e-01   -3.6318e-03
   77.0    1.1258e-02    1.2787e-02   -1.1957e-01   -3.7120e-03
   80.0    1.2579e-02    1.2787e-02   -1.6229e-02   -2.3172e-03
   83.0    1.4682e-02    1.2787e-02    1.4819e-01    3.2948e-04
   86.0    1.7923e-02    1.2787e-02    4.0169e-01    8.1627e-03
   89.0    1.9876e-02    1.2787e-02    5.5439e-01    1.6428e-02
   92.0    1.9528e-02    1.2787e-02    5.2721e-01    9.5016e-03
   95.0    1.7007e-02    1.2787e-02    3.3000e-01    1.4639e-03
   98.0    1.4068e-02    1.2787e-02    1.0017e-01   -5.1703e-04
  101.0    1.1932e-02    1.2787e-02   -6.6822e-02    3.9899e-03
  104.0    1.0849e-02    1.2787e-02   -1.5157e-01    1.2036e-03
  107.0    1.0361e-02    1.2787e-02   -1.8968e-01   -1.0791e-03
  110.0    1.1512e-02    1.2787e-02   -9.9664e-02   -7.3283e-03
  113.0    1.1741e-02    1.2787e-02   -8.1782e-02   -6.0139e-03
  116.0    1.1590e-02    1.2787e-02   -9.3586e-02   -7.2824e-03
  119.0    1.1189e-02    1.2787e-02   -1.2494e-01   -6.4811e-03
  122.0    1.0702e-02    1.2787e-02   -1.6305e-01   -7.1728e-03
  125.0    1.2246e-02    1.2787e-02   -4.2297e-02    1.5359e-03
  128.0    1.3030e-02    1.2787e-02    1.8996e-02    6.8638e-03
  131.0    1.2802e-02    1.2787e-02    1.1575e-03    7.0845e-03
   7    31  14.31   51.0    1.0    0.0   ----------------------------
