   323    17    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 experimental data for Pd 3d3/2 from W(100)  excited with hv=1810eV

 provided by Pancotti et al. (LNLS in 12, June 2007)
   intial angular momentum (l) = 2
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K

   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      20    2400       1      20     120    2400
       1     120      9.85000      12      1.00000      0.00000
      2.50000      269167.      319062.   -0.0054623
      5.50000      266382.      319062.   -0.0002603
      8.50000      259502.      319062.    0.0052776
      11.5000      254191.      319062.    0.0078388
      14.5000      351611.      319062.    0.2001880
      17.5000      266761.      319062.    0.0468255
      20.5000      270759.      319062.    0.0654959
      23.5000      267341.      319062.    0.0502572
      26.5000      276003.      319062.    0.0645329
      29.5000      273072.      319062.    0.0488766
      32.5000      278575.      319062.    0.0594443
      35.5000      277341.      319062.    0.0382841
      38.5000      280461.      319062.    0.0469004
      41.5000      268175.      319062.    0.0208930
      44.5000      271051.      319062.    0.0106714
      47.5000      265570.      319062.   -0.0141605
      50.5000      264767.      319062.   -0.0224431
      53.5000      262314.      319062.   -0.0388157
      56.5000      255418.      319062.   -0.0550325
      59.5000      257550.      319062.   -0.0451912
      62.5000      259827.      319062.   -0.0530593
      65.5000      259519.      319062.   -0.0433703
      68.5000      259614.      319062.   -0.0386997
      71.5000      254032.      319062.   -0.0536608
      74.5000      264744.      319062.   -0.0401209
      77.5000      269371.      319062.   -0.0359434
      80.5000      271097.      319062.   -0.0325183
      83.5000      266939.      319062.   -0.0376470
      86.5000      277998.      319062.   -0.0230184
      89.5000      280092.      319062.   -0.0219751
      92.5000      280690.      319062.   -0.0395365
      95.5000      285104.      319062.   -0.0337753
      98.5000      292062.      319062.   -0.0259762
      101.500      296504.      319062.   -0.0187035
      104.500      294622.      319062.   -0.0260700
      107.500      299760.      319062.   -0.0341533
      110.500      306988.      319062.   -0.0360873
      113.500      317742.      319062.   -0.0141626
      116.500      328847.      319062.   -0.0076406
      119.500      333756.      319062.   -0.0044918
      122.500      340752.      319062.   -0.0042082
      125.500      351938.      319062.    0.0161016
      128.500      325586.      319062.   -0.0514754
      131.500      339400.      319062.   -0.0341525
      134.500      344807.      319062.   -0.0156754
      137.500      357484.      319062.   -0.0055337
      140.500      362181.      319062.    0.0188725
      143.500      366549.      319062.    0.0200106
      146.500      377452.      319062.    0.0286845
      149.500      388699.      319062.    0.0495041
      152.500      389505.      319062.    0.0678032
      155.500      379806.      319062.    0.0269503
      158.500      379882.      319062.    0.0262681
      161.500      382815.      319062.    0.0272908
      164.500      370866.      319062.    0.0135280
      167.500      370506.      319062.   -0.0092050
      170.500      369678.      319062.    0.0059653
      173.500      364105.      319062.   -0.0105763
      176.500      372651.      319062.   -0.0054797
      179.500      367849.      319062.   -0.0168243
      182.500      375645.      319062.   -0.0054623
      185.500      381549.      319062.   -0.0002603
      188.500      393458.      319062.    0.0052777
      191.500      400969.      319062.    0.0078388
      194.500      406444.      319062.    0.2001880
      197.500      408786.      319062.    0.0468255
      200.500      415234.      319062.    0.0654959
      203.500      406810.      319062.    0.0502572
      206.500      403445.      319062.    0.0645329
      209.500      394212.      319062.    0.0488766
      212.500      392677.      319062.    0.0594443
      215.500      377262.      319062.    0.0382841
      218.500      377843.      319062.    0.0469004
      221.500      374570.      319062.    0.0208930
      224.500      361968.      319062.    0.0106714
      227.500      350462.      319062.   -0.0141605
      230.500      344708.      319062.   -0.0224431
      233.500      335540.      319062.   -0.0388157
      236.500      332628.      319062.   -0.0550325
      239.500      336316.      319062.   -0.0451912
      242.500      327392.      319062.   -0.0530593
      245.500      334423.      319062.   -0.0433703
      248.500      337458.      319062.   -0.0386997
      251.500      334159.      319062.   -0.0536608
      254.500      330122.      319062.   -0.0401209
      257.500      327555.      319062.   -0.0359434
      260.500      328254.      319062.   -0.0325183
      263.500      330385.      319062.   -0.0376470
      266.500      327751.      319062.   -0.0230184
      269.500      326883.      319062.   -0.0219751
      272.500      315541.      319062.   -0.0395364
      275.500      315541.      319062.   -0.0337753
      278.500      314262.      319062.   -0.0259761
      281.500      315661.      319062.   -0.0187035
      284.500      314534.      319062.   -0.0260700
      287.500      305660.      319062.   -0.0341533
      290.500      298904.      319062.   -0.0360873
      293.500      304047.      319062.   -0.0141625
      296.500      299486.      319062.   -0.0076406
      299.500      299213.      319062.   -0.0044918
      302.500      295418.      319062.   -0.0042082
      305.500      300367.      319062.    0.0161016
      308.500      299866.      319062.   -0.0514754
      311.500      298436.      319062.   -0.0341524
      314.500      304656.      319062.   -0.0156753
      317.500      299781.      319062.   -0.0055337
      320.500      309799.      319062.    0.0188725
      323.500      306185.      319062.    0.0200106
      326.500      301762.      319062.    0.0286845
      329.500      304105.      319062.    0.0495041
      332.500      312966.      319062.    0.0678032
      335.500      295882.      319062.    0.0269503
      338.500      294262.      319062.    0.0262681
      341.500      291399.      319062.    0.0272908
      344.500      291308.      319062.    0.0135280
      347.500      277578.      319062.   -0.0092050
      350.500      285269.      319062.    0.0059653
      353.500      278844.      319062.   -0.0105763
      356.500      274057.      319062.   -0.0054797
      359.500      269972.      319062.   -0.0168243
       2     120      9.85000      15      1.00000      0.00000
      2.50000      235794.      296703.    0.0184567
      5.50000      228912.      296703.    0.0273010
      8.50000      222312.      296703.    0.0270486
      11.5000      234822.      296703.    0.0647768
      14.5000      233889.      296703.    0.0879858
      17.5000      232250.      296703.    0.0768201
      20.5000      234889.      296703.    0.0994877
      23.5000      227673.      296703.    0.0698865
      26.5000      230738.      296703.    0.0634858
      29.5000      226790.      296703.    0.0372215
      32.5000      224285.      296703.    0.0211258
      35.5000      213607.      296703.   -0.0360108
      38.5000      217723.      296703.   -0.0473012
      41.5000      217815.      296703.   -0.0494651
      44.5000      215114.      296703.   -0.0671516
      47.5000      203018.      296703.   -0.0997067
      50.5000      208530.      296703.   -0.0786582
      53.5000      212709.      296703.   -0.0648342
      56.5000      200700.      296703.   -0.0770408
      59.5000      209531.      296703.   -0.0501252
      62.5000      213154.      296703.   -0.0319724
      65.5000      207344.      296703.   -0.0447392
      68.5000      218676.      296703.   -0.0155681
      71.5000      217000.      296703.   -0.0163815
      74.5000      229683.      296703.   -0.0041116
      77.5000      234352.      296703.    0.0063737
      80.5000      237542.      296703.    0.0132961
      83.5000      244907.      296703.    0.0215956
      86.5000      249684.      296703.    0.0178963
      89.5000      251695.      296703.    0.0202913
      92.5000      256114.      296703.    0.0287393
      95.5000      258233.      296703.    0.0189435
      98.5000      268567.      296703.    0.0285503
      101.500      269750.      296703.    0.0205725
      104.500      277414.      296703.    0.0227697
      107.500      270216.      296703.   -0.0123248
      110.500      273636.      296703.   -0.0005173
      113.500      274016.      296703.   -0.0153402
      116.500      279755.      296703.   -0.0158330
      119.500      282656.      296703.   -0.0427606
      122.500      286123.      296703.   -0.0465373
      125.500      293756.      296703.   -0.0654109
      128.500      328712.      296703.   -0.1187175
      131.500      336508.      296703.   -0.1010930
      134.500      348417.      296703.   -0.0846855
      137.500      359682.      296703.   -0.0670536
      140.500      370336.      296703.   -0.0456623
      143.500      385985.      296703.   -0.0267915
      146.500      404567.      296703.    0.0220370
      149.500      408552.      296703.    0.0454209
      152.500      419810.      296703.    0.0552342
      155.500      423372.      296703.    0.0695251
      158.500      425376.      296703.    0.0782649
      161.500      419413.      296703.    0.0764600
      164.500      415889.      296703.    0.0741421
      167.500      403499.      296703.    0.0551241
      170.500      391510.      296703.    0.0172084
      173.500      384759.      296703.    0.0300652
      176.500      386819.      296703.    0.0204488
      179.500      383826.      296703.    0.0158883
      182.500      385277.      296703.    0.0184567
      185.500      399778.      296703.    0.0273010
      188.500      406913.      296703.    0.0270486
      191.500      410396.      296703.    0.0647767
      194.500      425719.      296703.    0.0879858
      197.500      416182.      296703.    0.0768201
      200.500      424996.      296703.    0.0994877
      203.500      411507.      296703.    0.0698865
      206.500      398058.      296703.    0.0634858
      209.500      382101.      296703.    0.0372215
      212.500      371542.      296703.    0.0211258
      215.500      345034.      296703.   -0.0360108
      218.500      327557.      296703.   -0.0473013
      221.500      323792.      296703.   -0.0494652
      224.500      313739.      296703.   -0.0671516
      227.500      308790.      296703.   -0.0997067
      230.500      313348.      296703.   -0.0786581
      233.500      315140.      296703.   -0.0648342
      236.500      324627.      296703.   -0.0770408
      239.500      328414.      296703.   -0.0501253
      242.500      334474.      296703.   -0.0319724
      245.500      333969.      296703.   -0.0447392
      248.500      336178.      296703.   -0.0155681
      251.500      337817.      296703.   -0.0163815
      254.500      327579.      296703.   -0.0041116
      257.500      328129.      296703.    0.0063738
      260.500      328678.      296703.    0.0132961
      263.500      324716.      296703.    0.0215956
      266.500      317001.      296703.    0.0178963
      269.500      317089.      296703.    0.0202913
      272.500      318093.      296703.    0.0287393
      275.500      310929.      296703.    0.0189434
      278.500      306110.      296703.    0.0285503
      281.500      301855.      296703.    0.0205725
      284.500      296565.      296703.    0.0227697
      287.500      286016.      296703.   -0.0123248
      290.500      291472.      296703.   -0.0005172
      293.500      284771.      296703.   -0.0153403
      296.500      281051.      296703.   -0.0158330
      299.500      265513.      296703.   -0.0427606
      302.500      262762.      296703.   -0.0465373
      305.500      248126.      296703.   -0.0654109
      308.500      244472.      296703.   -0.1187175
      311.500      246819.      296703.   -0.1010930
      314.500      245520.      296703.   -0.0846855
      317.500      245250.      296703.   -0.0670536
      320.500      247260.      296703.   -0.0456623
      323.500      244537.      296703.   -0.0267915
      326.500      255104.      296703.    0.0220370
      329.500      261998.      296703.    0.0454209
      332.500      257259.      296703.    0.0552342
      335.500      259591.      296703.    0.0695251
      338.500      260056.      296703.    0.0782649
      341.500      260270.      296703.    0.0764600
      344.500      258680.      296703.    0.0741421
      347.500      254549.      296703.    0.0551241
      350.500      241366.      296703.    0.0172084
      353.500      248886.      296703.    0.0300652
      356.500      240682.      296703.    0.0204489
      359.500      237898.      296703.    0.0158883
       3     120      9.85000      18      1.00000      0.00000
      2.50000      245206.      311024.   -0.0059531
      5.50000      240321.      311024.   -0.0003162
      8.50000      243848.      311024.    0.0052482
      11.5000      232509.      311024.    0.0031315
      14.5000      234732.      311024.    0.0465810
      17.5000      237241.      311024.    0.0532157
      20.5000      232078.      311024.    0.0247543
      23.5000      230100.      311024.   -0.0161592
      26.5000      227410.      311024.   -0.0442519
      29.5000      216113.      311024.   -0.0675302
      32.5000      216113.      311024.   -0.0823658
      35.5000      210290.      311024.   -0.1211064
      38.5000      207504.      311024.   -0.1385609
      41.5000      202043.      311024.   -0.1335274
      44.5000      200203.      311024.   -0.1223154
      47.5000      206184.      311024.   -0.1456212
      50.5000      196788.      311024.   -0.1586510
      53.5000      203232.      311024.   -0.1067991
      56.5000      206892.      311024.   -0.0901493
      59.5000      212218.      311024.   -0.0447554
      62.5000      219617.      311024.   -0.0184842
      65.5000      234077.      311024.    0.0108593
      68.5000      236493.      311024.   -0.0164405
      71.5000      256037.      311024.    0.0313623
      74.5000      267364.      311024.    0.0094557
      77.5000      275124.      311024.    0.0655193
      80.5000      286214.      311024.    0.0671288
      83.5000      289526.      311024.    0.0334854
      86.5000      298826.      311024.    0.0805645
      89.5000      300780.      311024.    0.0732833
      92.5000      309748.      311024.    0.0977525
      95.5000      311457.      311024.    0.0688829
      98.5000      320868.      311024.    0.0752174
      101.500      329110.      311024.    0.0781146
      104.500      335368.      311024.    0.0989120
      107.500      322470.      311024.    0.0150905
      110.500      333516.      311024.    0.0437197
      113.500      334538.      311024.    0.0254266
      116.500      334234.      311024.    0.0305082
      119.500      331284.      311024.   -0.0148006
      122.500      324416.      311024.   -0.0591085
      125.500      325782.      311024.   -0.0704974
      128.500      313086.      311024.   -0.0733003
      131.500      312026.      311024.   -0.0694069
      134.500      305322.      311024.   -0.0944631
      137.500      346218.      311024.   -0.0340190
      140.500      359008.      311024.   -0.0152681
      143.500      359524.      311024.   -0.0076344
      146.500      413043.      311024.    0.0765416
      149.500      425746.      311024.    0.0890959
      152.500      402044.      311024.    0.0579961
      155.500      402564.      311024.    0.0741848
      158.500      402893.      311024.    0.0756510
      161.500      427072.      311024.    0.1003427
      164.500      384835.      311024.    0.0636423
      167.500      397458.      311024.    0.0626168
      170.500      405080.      311024.    0.0675986
      173.500      381979.      311024.    0.0398364
      176.500      352965.      311024.   -0.0262350
      179.500      378515.      311024.   -0.0039919
      182.500      375527.      311024.   -0.0059531
      185.500      385429.      311024.   -0.0003162
      188.500      381659.      311024.    0.0052482
      191.500      396300.      311024.    0.0031315
      194.500      424114.      311024.    0.0465810
      197.500      422935.      311024.    0.0532157
      200.500      407399.      311024.    0.0247543
      203.500      377217.      311024.   -0.0161592
      206.500      358357.      311024.   -0.0442519
      209.500      357652.      311024.   -0.0675301
      212.500      344996.      311024.   -0.0823658
      215.500      323960.      311024.   -0.1211065
      218.500      314417.      311024.   -0.1385609
      221.500      326369.      311024.   -0.1335275
      224.500      337152.      311024.   -0.1223154
      227.500      309876.      311024.   -0.1456212
      230.500      314863.      311024.   -0.1586510
      233.500      343033.      311024.   -0.1067991
      236.500      349658.      311024.   -0.0901493
      239.500      374792.      311024.   -0.0447554
      242.500      383026.      311024.   -0.0184842
      245.500      383467.      311024.    0.0108594
      248.500      361448.      311024.   -0.0164405
      251.500      368990.      311024.    0.0313623
      254.500      339831.      311024.    0.0094557
      257.500      370374.      311024.    0.0655193
      260.500      359190.      311024.    0.0671287
      263.500      334702.      311024.    0.0334855
      266.500      357780.      311024.    0.0805645
      269.500      353527.      311024.    0.0732834
      272.500      362246.      311024.    0.0977525
      275.500      344659.      311024.    0.0688829
      278.500      341798.      311024.    0.0752174
      281.500      338471.      311024.    0.0781146
      284.500      348918.      311024.    0.0989120
      287.500      313103.      311024.    0.0150905
      290.500      323883.      311024.    0.0437197
      293.500      315503.      311024.    0.0254266
      296.500      322589.      311024.    0.0305082
      299.500      301612.      311024.   -0.0148006
      302.500      284750.      311024.   -0.0591084
      305.500      280476.      311024.   -0.0704974
      308.500      269523.      311024.   -0.0733003
      311.500      273334.      311024.   -0.0694069
      314.500      264888.      311024.   -0.0944632
      317.500      266439.      311024.   -0.0340190
      320.500      266998.      311024.   -0.0152681
      323.500      270622.      311024.   -0.0076344
      326.500      276142.      311024.    0.0765416
      329.500      273258.      311024.    0.0890959
      332.500      273098.      311024.    0.0579961
      335.500      280296.      311024.    0.0741848
      338.500      279691.      311024.    0.0756510
      341.500      274746.      311024.    0.1003428
      344.500      282926.      311024.    0.0636423
      347.500      272559.      311024.    0.0626168
      350.500      268570.      311024.    0.0675986
      353.500      268109.      311024.    0.0398364
      356.500      252551.      311024.   -0.0262350
      359.500      245780.      311024.   -0.0039919
       4     120      9.85000      21      1.00000      0.00000
      2.50000      253878.      314155.    0.0105193
      5.50000      240293.      314155.   -0.0599711
      8.50000      244029.      314155.    0.0153883
      11.5000      251053.      314155.    0.0187436
      14.5000      238436.      314155.    0.0202603
      17.5000      248554.      314155.    0.0421139
      20.5000      260997.      314155.    0.0490555
      23.5000      259818.      314155.    0.0161999
      26.5000      250063.      314155.   -0.0232069
      29.5000      251533.      314155.   -0.0443570
      32.5000      221923.      314155.   -0.0787065
      35.5000      249451.      314155.   -0.0649482
      38.5000      230330.      314155.   -0.0802805
      41.5000      227147.      314155.   -0.0855108
      44.5000      232104.      314155.   -0.0909337
      47.5000      229262.      314155.   -0.0720602
      50.5000      232351.      314155.   -0.0608312
      53.5000      223661.      314155.   -0.1343900
      56.5000      244456.      314155.   -0.0306964
      59.5000      262320.      314155.    0.0369142
      62.5000      249700.      314155.   -0.0247831
      65.5000      283040.      314155.   -0.0117927
      68.5000      285272.      314155.    0.0421291
      71.5000      303356.      314155.    0.0921040
      74.5000      278744.      314155.    0.0380992
      77.5000      288235.      314155.    0.0199722
      80.5000      290002.      314155.    0.0265850
      83.5000      276085.      314155.   -0.0080493
      86.5000      296415.      314155.    0.0065294
      89.5000      302872.      314155.    0.0403749
      92.5000      298025.      314155.    0.0646517
      95.5000      326480.      314155.    0.0703848
      98.5000      328298.      314155.    0.0995467
      101.500      333989.      314155.    0.1033349
      104.500      321584.      314155.    0.0789877
      107.500      350265.      314155.    0.0946679
      110.500      370677.      314155.    0.0662011
      113.500      363699.      314155.    0.0793375
      116.500      339840.      314155.    0.0290943
      119.500      351887.      314155.    0.0105425
      122.500      347782.      314155.   -0.0011080
      125.500      354231.      314155.    0.0014420
      128.500      303299.      314155.   -0.0469259
      131.500      324486.      314155.   -0.0057352
      134.500      321921.      314155.   -0.0725593
      137.500      310253.      314155.   -0.0919966
      140.500      316629.      314155.   -0.0772492
      143.500      343488.      314155.   -0.0319561
      146.500      362227.      314155.   -0.0005896
      149.500      360554.      314155.    0.0017773
      152.500      385522.      314155.    0.0470299
      155.500      395636.      314155.    0.0490574
      158.500      371847.      314155.    0.0064078
      161.500      387091.      314155.    0.0601548
      164.500      389790.      314155.    0.0334048
      167.500      352635.      314155.   -0.0734043
      170.500      341169.      314155.   -0.0518054
      173.500      373368.      314155.   -0.0376320
      176.500      358062.      314155.   -0.0038700
      179.500      379838.      314155.   -0.0311870
      182.500      379838.      314155.    0.0105193
      185.500      346078.      314155.   -0.0599711
      188.500      396002.      314155.    0.0153883
      191.500      386784.      314155.    0.0187435
      194.500      406007.      314155.    0.0202603
      197.500      406007.      314155.    0.0421139
      200.500      391188.      314155.    0.0490555
      203.500      367304.      314155.    0.0161999
      206.500      351792.      314155.   -0.0232069
      209.500      333036.      314155.   -0.0443570
      212.500      351934.      314155.   -0.0787066
      215.500      320084.      314155.   -0.0649482
      218.500      337410.      314155.   -0.0802805
      221.500      338245.      314155.   -0.0855108
      224.500      326969.      314155.   -0.0909337
      227.500      345352.      314155.   -0.0720602
      230.500      349457.      314155.   -0.0608312
      233.500      308922.      314155.   -0.1343900
      236.500      355344.      314155.   -0.0306964
      239.500      380008.      314155.    0.0369141
      242.500      354396.      314155.   -0.0247831
      245.500      319858.      314155.   -0.0117927
      248.500      357156.      314155.    0.0421291
      251.500      370761.      314155.    0.0921040
      254.500      367014.      314155.    0.0380992
      257.500      344806.      314155.    0.0199722
      260.500      349777.      314155.    0.0265850
      263.500      345476.      314155.   -0.0080493
