   323    17    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 experimental data for Fe 2p3/2 from Fe on STO(100)  excited with hv=1810eV
 
 provided by Pancotti et al. (LNLS in 9, June 2010) 
   intial angular momentum (l) = 1
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K
 
   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      14     434       1      14      31     434
       1      31      14.3100      33      1.00000      0.00000
      41.0000      135635.      135215.   0.00310422
      44.0000      135910.      135215.   0.00514219
      47.0000      136037.      135215.   0.00608037
      50.0000      135424.      135215.   0.00154598
      53.0000      134981.      135215.  -0.00173357
      56.0000      134423.      135215.  -0.00585995
      59.0000      134769.      135215.  -0.00329596
      62.0000      134307.      135215.  -0.00671638
      65.0000      134256.      135215.  -0.00709316
      68.0000      133013.      135215.   -0.0162868
      71.0000      133626.      135215.   -0.0117515
      74.0000      133908.      135215.  -0.00966497
      77.0000      136283.      135215.   0.00790087
      80.0000      136324.      135215.   0.00819874
      83.0000      136851.      135215.    0.0120975
      86.0000      136481.      135215.   0.00935983
      89.0000      137343.      135215.    0.0157393
      92.0000      137288.      135215.    0.0153283
      95.0000      137056.      135215.    0.0136182
      98.0000      136400.      135215.   0.00876070
      101.000      135480.      135215.   0.00196004
      104.000      134692.      135215.  -0.00386855
      107.000      133293.      135215.   -0.0142139
      110.000      132943.      135215.   -0.0168031
      113.000      133501.      135215.   -0.0126759
      116.000      133824.      135215.   -0.0102896
      119.000      134420.      135215.  -0.00588187
      122.000      134527.      135215.  -0.00509079
      125.000      135477.      135215.   0.00193944
      128.000      136313.      135215.   0.00811951
      131.000      136882.      135215.    0.0123292
       2      31      14.3100      36      1.00000      0.00000
      41.0000      138032.      138416.  -0.00277182
      44.0000      138518.      138416.  0.000734941
      47.0000      139250.      138416.   0.00602425
      50.0000      138735.      138416.   0.00230290
      53.0000      138956.      138416.   0.00389867
      56.0000      138769.      138416.   0.00254928
      59.0000      138316.      138416. -0.000721327
      62.0000      137406.      138416.  -0.00729748
      65.0000      136963.      138416.   -0.0104961
      68.0000      137162.      138416.  -0.00905701
      71.0000      137726.      138416.  -0.00498852
      74.0000      137598.      138416.  -0.00590649
      77.0000      138395.      138416. -0.000153941
      80.0000      139193.      138416.   0.00561576
      83.0000      140040.      138416.    0.0117363
      86.0000      140276.      138416.    0.0134353
      89.0000      139883.      138416.    0.0105964
      92.0000      139345.      138416.   0.00671102
      95.0000      138528.      138416.  0.000808993
      98.0000      137875.      138416.  -0.00391198
      101.000      137358.      138416.  -0.00764267
      104.000      137267.      138416.  -0.00830404
      107.000      137819.      138416.  -0.00431323
      110.000      138339.      138416. -0.000559515
      113.000      138358.      138416. -0.000417569
      116.000      138514.      138416.  0.000710019
      119.000      138346.      138416. -0.000505126
      122.000      138736.      138416.   0.00230884
      125.000      137560.      138416.  -0.00618663
      128.000      137978.      138416.  -0.00316186
      131.000      139657.      138416.   0.00896798
       3      31      14.3100      39      1.00000      0.00000
      41.0000      136588.      139383.   -0.0200556
      44.0000      139909.      139383.   0.00377254
      47.0000      141265.      139383.    0.0134994
      50.0000      141317.      139383.    0.0138748
      53.0000      140985.      139383.    0.0114909
      56.0000      140381.      139383.   0.00715666
      59.0000      139420.      139383.  0.000265427
      62.0000      138189.      139383.  -0.00856438
      65.0000      137506.      139383.   -0.0134683
      68.0000      137346.      139383.   -0.0146136
      71.0000      137312.      139383.   -0.0148625
      74.0000      138344.      139383.  -0.00745838
      77.0000      139591.      139383.   0.00149449
      80.0000      139247.      139383. -0.000977098
      83.0000      139417.      139383.  0.000245001
      86.0000      140126.      139383.   0.00533240
      89.0000      142073.      139383.    0.0193002
      92.0000      141530.      139383.    0.0154028
      95.0000      140610.      139383.   0.00880494
      98.0000      139222.      139383.  -0.00115731
      101.000      139289.      139383. -0.000678557
      104.000      139088.      139383.  -0.00211860
      107.000      139060.      139383.  -0.00232073
      110.000      138551.      139383.  -0.00597187
      113.000      138476.      139383.  -0.00650777
      116.000      138890.      139383.  -0.00353709
      119.000      138948.      139383.  -0.00312394
      122.000      138858.      139383.  -0.00376426
      125.000      139293.      139383. -0.000646292
      128.000      140082.      139383.   0.00501276
      131.000      139965.      139383.   0.00417691
       4      31      14.3100      42      1.00000      0.00000
      41.0000      143066.      141626.    0.0101675
      44.0000      142762.      141626.   0.00801475
      47.0000      141950.      141626.   0.00228143
      50.0000      141453.      141626.  -0.00122638
      53.0000      140070.      141626.   -0.0109880
      56.0000      139475.      141626.   -0.0151913
      59.0000      139429.      141626.   -0.0155191
      62.0000      141226.      141626.  -0.00282533
      65.0000      142073.      141626.   0.00315150
      68.0000      141661.      141626.  0.000246009
      71.0000      141163.      141626.  -0.00326983
      74.0000      141296.      141626.  -0.00233269
      77.0000      141817.      141626.   0.00134293
      80.0000      142725.      141626.   0.00775847
      83.0000      143331.      141626.    0.0120384
      86.0000      143493.      141626.    0.0131790
      89.0000      143795.      141626.    0.0153107
      92.0000      143147.      141626.    0.0107367
      95.0000      142649.      141626.   0.00721838
      98.0000      140996.      141626.  -0.00445277
      101.000      140384.      141626.  -0.00876941
      104.000      140204.      141626.   -0.0100419
      107.000      140353.      141626.  -0.00899358
      110.000      141098.      141626.  -0.00372874
      113.000      141079.      141626.  -0.00386405
      116.000      141173.      141626.  -0.00320395
      119.000      140448.      141626.  -0.00832274
      122.000      140987.      141626.  -0.00451419
      125.000      141360.      141626.  -0.00187860
      128.000      142515.      141626.   0.00627532
      131.000      143239.      141626.    0.0113847
       5      31      14.3100      45      1.00000      0.00000
      41.0000      143888.      142512.   0.00964994
      44.0000      143855.      142512.   0.00942171
      47.0000      142733.      142512.   0.00154785
      50.0000      141383.      142512.  -0.00792203
      53.0000      140477.      142512.   -0.0142841
      56.0000      140075.      142512.   -0.0171041
      59.0000      141166.      142512.  -0.00944520
      62.0000      142366.      142512.  -0.00103015
      65.0000      143562.      142512.   0.00736208
      68.0000      143846.      142512.   0.00935775
      71.0000      143852.      142512.   0.00939893
      74.0000      142698.      142512.   0.00130508
      77.0000      142032.      142512.  -0.00337005
      80.0000      141917.      142512.  -0.00417428
      83.0000      143729.      142512.   0.00853492
      86.0000      144190.      142512.    0.0117711
      89.0000      143900.      142512.   0.00973558
      92.0000      143293.      142512.   0.00547779
      95.0000      141604.      142512.  -0.00637019
      98.0000      141363.      142512.  -0.00806443
      101.000      141347.      142512.  -0.00817687
      104.000      142592.      142512.  0.000561581
      107.000      142403.      142512. -0.000767274
      110.000      142472.      142512. -0.000283734
      113.000      142355.      142512.  -0.00110605
      116.000      141710.      142512.  -0.00562796
      119.000      141735.      142512.  -0.00545575
      122.000      141926.      142512.  -0.00411546
      125.000      143349.      142512.   0.00586802
      128.000      143218.      142512.   0.00495222
      131.000      142847.      142512.   0.00234970
       6      31      14.3100      48      1.00000      0.00000
      41.0000      142044.      141421.   0.00441067
      44.0000      141485.      141421.  0.000455715
      47.0000      141332.      141421. -0.000627942
      50.0000      141446.      141421.  0.000176972
      53.0000      141372.      141421. -0.000340991
      56.0000      141206.      141421.  -0.00151995
      59.0000      141194.      141421.  -0.00160105
      62.0000      141317.      141421. -0.000731237
      65.0000      141221.      141421.  -0.00141011
      68.0000      141068.      141421.  -0.00249452
      71.0000      140382.      141421.  -0.00734068
      74.0000      140907.      141421.  -0.00363179
      77.0000      140896.      141421.  -0.00371203
      80.0000      141093.      141421.  -0.00231723
      83.0000      141467.      141421.  0.000329480
      86.0000      142575.      141421.   0.00816269
      89.0000      143744.      141421.    0.0164281
      92.0000      142764.      141421.   0.00950165
      95.0000      141628.      141421.   0.00146386
      98.0000      141347.      141421. -0.000517030
      101.000      141985.      141421.   0.00398994
      104.000      141591.      141421.   0.00120355
      107.000      141268.      141421.  -0.00107908
      110.000      140384.      141421.  -0.00732833
      113.000      140570.      141421.  -0.00601387
      116.000      140391.      141421.  -0.00728235
      119.000      140504.      141421.  -0.00648105
      122.000      140406.      141421.  -0.00717277
      125.000      141638.      141421.   0.00153587
      128.000      142391.      141421.   0.00686382
      131.000      142422.      141421.   0.00708453
       7      31      14.3100      51      1.00000      0.00000
      41.0000      140322.      140234.  0.000621446
      44.0000      140458.      140234.   0.00159128
      47.0000      140900.      140234.   0.00474539
      50.0000      140589.      140234.   0.00252491
      53.0000      140254.      140234.  0.000139326
      56.0000      139387.      140234.  -0.00604184
      59.0000      140253.      140234.  0.000133825
      62.0000      139894.      140234.  -0.00242587
      65.0000      140077.      140234.  -0.00112112
