   323    17    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 experimental data for Pd 3d3/2 from W(100)  excited with hv=1810eV

 provided by Pancotti et al. (LNLS in 12, June 2007)
   intial angular momentum (l) = 2
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K

   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      20    2420       1      20     121    2420
       1     121      9.85000      12      1.00000      0.00000
      128.500      325586.      352723.    0.0000605
      131.500      339400.      352723.    0.0093187
      134.500      344807.      352723.   -0.0058076
      137.500      357484.      352723.   -0.0083568
      140.500      362181.      352723.   -0.0136983
      143.500      366549.      352723.   -0.0235225
      146.500      377452.      352723.   -0.0149690
      149.500      388699.      352723.    0.0040049
      152.500      389505.      352723.   -0.0084880
      155.500      379806.      352723.   -0.0110291
      158.500      379882.      352723.   -0.0055387
      161.500      382815.      352723.   -0.0050221
      164.500      370866.      352723.   -0.0244237
      167.500      370506.      352723.   -0.0261191
      170.500      369678.      352723.   -0.0230361
      173.500      364105.      352723.   -0.0233975
      176.500      372651.      352723.   -0.0126865
      179.500      367849.      352723.   -0.0160695
      182.500      375645.      352723.   -0.0197070
      185.500      381549.      352723.   -0.0077355
      188.500      393458.      352723.    0.0100624
      191.500      400969.      352723.    0.0266937
      194.500      406444.      352723.    0.0367415
      197.500      408786.      352723.    0.0300971
      200.500      415234.      352723.    0.0321379
      203.500      406810.      352723.    0.0343672
      206.500      403445.      352723.    0.0269848
      209.500      394212.      352723.    0.0187483
      212.500      392677.      352723.    0.0145326
      215.500      377262.      352723.    0.0060510
      218.500      377843.      352723.    0.0000605
      221.500      374570.      352723.    0.0093187
      224.500      361968.      352723.   -0.0058076
      227.500      350462.      352723.   -0.0083568
      230.500      344708.      352723.   -0.0136983
      233.500      335540.      352723.   -0.0235225
      236.500      332628.      352723.   -0.0149690
      239.500      336316.      352723.    0.0040049
      242.500      327392.      352723.   -0.0084880
      245.500      334423.      352723.   -0.0110291
      248.500      337458.      352723.   -0.0055388
      251.500      334159.      352723.   -0.0050222
      254.500      330122.      352723.   -0.0244237
      257.500      327555.      352723.   -0.0261191
      260.500      328254.      352723.   -0.0230361
      263.500      330385.      352723.   -0.0233975
      266.500      327751.      352723.   -0.0126865
      269.500      326883.      352723.   -0.0160696
      272.500      315541.      352723.   -0.0197070
      275.500      315541.      352723.   -0.0077355
      278.500      314262.      352723.    0.0100623
      281.500      315661.      352723.    0.0266938
      284.500      314534.      352723.    0.0367415
      287.500      305660.      352723.    0.0300971
      290.500      298904.      352723.    0.0321379
      293.500      304047.      352723.    0.0343672
      296.500      299486.      352723.    0.0269848
      299.500      299213.      352723.    0.0187483
      302.500      295418.      352723.    0.0145326
      305.500      300367.      352723.    0.0060510
      308.500      325586.      352723.    0.0000605
      311.500      339400.      352723.    0.0093187
      314.500      344807.      352723.   -0.0058076
      317.500      357484.      352723.   -0.0083568
      320.500      362181.      352723.   -0.0136983
      323.500      366549.      352723.   -0.0235225
      326.500      377452.      352723.   -0.0149690
      329.500      388699.      352723.    0.0040049
      332.500      389505.      352723.   -0.0084880
      335.500      379806.      352723.   -0.0110291
      338.500      379882.      352723.   -0.0055387
      341.500      382815.      352723.   -0.0050221
      344.500      370866.      352723.   -0.0244237
      347.500      370506.      352723.   -0.0261191
      350.500      369678.      352723.   -0.0230361
      353.500      364105.      352723.   -0.0233975
      356.500      372651.      352723.   -0.0126865
      359.500      367849.      352723.   -0.0160695
      360.000      325586.      352723.    0.0000605
      362.500      375645.      352723.   -0.0197070
      365.500      381549.      352723.   -0.0077355
      368.500      393458.      352723.    0.0100624
      371.500      400969.      352723.    0.0266937
      374.500      406444.      352723.    0.0367415
      377.500      408786.      352723.    0.0300971
      380.500      415234.      352723.    0.0321379
      383.500      406810.      352723.    0.0343672
      386.500      403445.      352723.    0.0269848
      389.500      394212.      352723.    0.0187483
      392.500      392677.      352723.    0.0145326
      395.500      377262.      352723.    0.0060510
      398.500      377843.      352723.    0.0000605
      401.500      374570.      352723.    0.0093187
      404.500      361968.      352723.   -0.0058076
      407.500      350462.      352723.   -0.0083568
      410.500      344708.      352723.   -0.0136983
      413.500      335540.      352723.   -0.0235225
      416.500      332628.      352723.   -0.0149690
      419.500      336316.      352723.    0.0040049
      422.500      327392.      352723.   -0.0084880
      425.500      334423.      352723.   -0.0110291
      428.500      337458.      352723.   -0.0055388
      431.500      334159.      352723.   -0.0050222
      434.500      330122.      352723.   -0.0244237
      437.500      327555.      352723.   -0.0261191
      440.500      328254.      352723.   -0.0230361
      443.500      330385.      352723.   -0.0233975
      446.500      327751.      352723.   -0.0126865
      449.500      326883.      352723.   -0.0160696
      452.500      315541.      352723.   -0.0197070
      455.500      315541.      352723.   -0.0077355
      458.500      314262.      352723.    0.0100623
      461.500      315661.      352723.    0.0266938
      464.500      314534.      352723.    0.0367415
      467.500      305660.      352723.    0.0300971
      470.500      298904.      352723.    0.0321379
      473.500      304047.      352723.    0.0343672
      476.500      299486.      352723.    0.0269848
      479.500      299213.      352723.    0.0187483
      482.500      295418.      352723.    0.0145326
      485.500      300367.      352723.    0.0060510
       2     121      9.85000      15      1.00000      0.00000
      128.500      328712.      351147.   -0.0844889
      131.500      336508.      351147.   -0.0839833
      134.500      348417.      351147.   -0.0856303
      137.500      359682.      351147.   -0.0804957
      140.500      370336.      351147.   -0.0620066
      143.500      385985.      351147.   -0.0400308
      146.500      404567.      351147.   -0.0023572
      149.500      408552.      351147.    0.0090682
      152.500      419810.      351147.    0.0341466
      155.500      423372.      351147.    0.0404641
      158.500      425376.      351147.    0.0497477
      161.500      419413.      351147.    0.0490098
      164.500      415889.      351147.    0.0333475
      167.500      403499.      351147.    0.0241148
      170.500      391510.      351147.    0.0159330
      173.500      384759.      351147.    0.0072850
      176.500      386819.      351147.    0.0034967
      179.500      383826.      351147.    0.0064589
      182.500      385277.      351147.    0.0166533
      185.500      399778.      351147.    0.0293534
      188.500      406913.      351147.    0.0368231
      191.500      410396.      351147.    0.0406108
      194.500      425719.      351147.    0.0574747
      197.500      416182.      351147.    0.0333895
      200.500      424996.      351147.    0.0606005
      203.500      411507.      351147.    0.0374064
      206.500      398058.      351147.    0.0189088
      209.500      382101.      351147.   -0.0245550
      212.500      371542.      351147.   -0.0389067
      215.500      345034.      351147.   -0.0964346
      218.500      327557.      351147.   -0.0844889
      221.500      323792.      351147.   -0.0839833
      224.500      313739.      351147.   -0.0856302
