   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Aug 18, 2025

   initial angular momentum (li) = 0   msorder=  8   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  10.0,  11.0 and   3.04 angstrom
   cluster size= 206 atoms and spacings=  0.00  1.61  0.94  0.00 angs
   inner potential=  4.0 V  debye and sample temperature= 237, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-2 =   16.0   69.7 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    10  1200    1   10  120 1200  ncurve npoint nk ntheta nphi nangle
   1   120  15.82   30.0    1.0    0.0   ----------------------------
    2.5    4.0458e+00    3.3476e+00    2.0856e-01    7.9703e-02
    5.5    4.1432e+00    3.3476e+00    2.3764e-01    8.9743e-02
    8.5    4.1096e+00    3.3476e+00    2.2761e-01    8.1535e-02
   11.5    3.8542e+00    3.3476e+00    1.5133e-01    4.3014e-02
   14.5    3.4497e+00    3.3476e+00    3.0498e-02   -1.1028e-02
   17.5    3.0616e+00    3.3476e+00   -8.5437e-02   -5.6685e-02
   20.5    2.8176e+00    3.3476e+00   -1.5834e-01   -7.2070e-02
   23.5    2.7391e+00    3.3476e+00   -1.8177e-01   -7.8056e-02
   26.5    2.8606e+00    3.3476e+00   -1.4548e-01   -7.6352e-02
   29.5    2.9878e+00    3.3476e+00   -1.0750e-01   -8.7337e-02
   32.5    3.1808e+00    3.3476e+00   -4.9844e-02   -9.1148e-02
   35.5    3.3044e+00    3.3476e+00   -1.2902e-02   -8.1315e-02
   38.5    3.4811e+00    3.3476e+00    3.9874e-02   -5.6700e-02
   41.5    3.5295e+00    3.3476e+00    5.4343e-02   -2.3083e-02
   44.5    3.4845e+00    3.3476e+00    4.0879e-02    1.6590e-03
   47.5    3.4255e+00    3.3476e+00    2.3255e-02    1.8323e-02
   50.5    3.3619e+00    3.3476e+00    4.2735e-03    1.2507e-02
   53.5    3.3268e+00    3.3476e+00   -6.2311e-03   -4.5615e-03
   56.5    3.2234e+00    3.3476e+00   -3.7120e-02   -2.9961e-02
   59.5    3.0328e+00    3.3476e+00   -9.4045e-02   -4.4170e-02
   62.5    2.8186e+00    3.3476e+00   -1.5804e-01   -4.5849e-02
   65.5    2.6283e+00    3.3476e+00   -2.1488e-01   -3.4435e-02
   68.5    2.4897e+00    3.3476e+00   -2.5627e-01   -1.9596e-02
   71.5    2.5512e+00    3.3476e+00   -2.3791e-01   -6.7365e-03
   74.5    2.7838e+00    3.3476e+00   -1.6842e-01    7.2020e-03
   77.5    3.1609e+00    3.3476e+00   -5.5775e-02    2.6837e-02
   80.5    3.6858e+00    3.3476e+00    1.0102e-01    6.2876e-02
   83.5    4.0670e+00    3.3476e+00    2.1490e-01    1.1053e-01
   86.5    4.2417e+00    3.3476e+00    2.6707e-01    1.4540e-01
   89.5    4.2774e+00    3.3476e+00    2.7774e-01    1.5625e-01
   92.5    4.2700e+00    3.3476e+00    2.7554e-01    1.4761e-01
   95.5    4.1075e+00    3.3476e+00    2.2700e-01    1.3318e-01
   98.5    3.9499e+00    3.3476e+00    1.7992e-01    7.6059e-02
  101.5    3.6942e+00    3.3476e+00    1.0352e-01    3.5220e-02
  104.5    3.3700e+00    3.3476e+00    6.6960e-03   -1.4037e-02
  107.5    3.0741e+00    3.3476e+00   -8.1708e-02   -1.7085e-02
  110.5    2.8081e+00    3.3476e+00   -1.6116e-01   -4.0263e-02
  113.5    2.6189e+00    3.3476e+00   -2.1769e-01   -6.5798e-02
  116.5    2.6200e+00    3.3476e+00   -2.1736e-01   -1.0371e-01
  119.5    2.6775e+00    3.3476e+00   -2.0019e-01   -1.1083e-01
  122.5    2.8890e+00    3.3476e+00   -1.3701e-01   -9.4988e-02
  125.5    3.0979e+00    3.3476e+00   -7.4594e-02   -5.4154e-02
  128.5    3.3002e+00    3.3476e+00   -1.4164e-02    1.5155e-02
  131.5    3.4045e+00    3.3476e+00    1.7005e-02    2.1197e-02
  134.5    3.3488e+00    3.3476e+00    3.6430e-04    1.8032e-02
  137.5    3.3217e+00    3.3476e+00   -7.7523e-03    1.1580e-02
  140.5    3.4053e+00    3.3476e+00    1.7221e-02   -1.7602e-02
  143.5    3.5138e+00    3.3476e+00    4.9633e-02   -4.3238e-02
  146.5    3.5052e+00    3.3476e+00    4.7062e-02   -4.9114e-02
  149.5    3.3824e+00    3.3476e+00    1.0390e-02   -4.4946e-02
  152.5    3.0438e+00    3.3476e+00   -9.0744e-02   -3.2473e-02
  155.5    2.7117e+00    3.3476e+00   -1.8997e-01   -4.2739e-02
  158.5    2.6100e+00    3.3476e+00   -2.2034e-01   -5.0957e-02
  161.5    2.7846e+00    3.3476e+00   -1.6820e-01   -5.7035e-02
  164.5    3.1966e+00    3.3476e+00   -4.5102e-02   -2.9778e-02
  167.5    3.6477e+00    3.3476e+00    8.9651e-02    2.7790e-02
  170.5    4.0260e+00    3.3476e+00    2.0264e-01    8.4118e-02
  173.5    4.1422e+00    3.3476e+00    2.3735e-01    1.0643e-01
  176.5    4.0968e+00    3.3476e+00    2.2378e-01    9.4872e-02
  179.5    4.0473e+00    3.3476e+00    2.0901e-01    8.1013e-02
  182.5    4.0613e+00    3.3476e+00    2.1318e-01    7.9704e-02
  185.5    4.1531e+00    3.3476e+00    2.4061e-01    8.9743e-02
  188.5    4.1034e+00    3.3476e+00    2.2576e-01    8.1534e-02
  191.5    3.8167e+00    3.3476e+00    1.4013e-01    4.3012e-02
  194.5    3.3284e+00    3.3476e+00   -5.7462e-03   -1.1029e-02
  197.5    2.9218e+00    3.3476e+00   -1.2719e-01   -5.6684e-02
  200.5    2.6242e+00    3.3476e+00   -2.1611e-01   -7.2070e-02
  203.5    2.6367e+00    3.3476e+00   -2.1236e-01   -7.8055e-02
  206.5    2.8838e+00    3.3476e+00   -1.3856e-01   -7.6351e-02
  209.5    3.3071e+00    3.3476e+00   -1.2105e-02   -8.7337e-02
  212.5    3.4659e+00    3.3476e+00    3.5324e-02   -9.1148e-02
  215.5    3.5126e+00    3.3476e+00    4.9296e-02   -8.1314e-02
  218.5    3.4693e+00    3.3476e+00    3.6356e-02   -5.6700e-02
  221.5    3.3628e+00    3.3476e+00    4.5429e-03   -2.3083e-02
  224.5    3.3287e+00    3.3476e+00   -5.6576e-03    1.6600e-03
  227.5    3.4081e+00    3.3476e+00    1.8053e-02    1.8323e-02
  230.5    3.3410e+00    3.3476e+00   -1.9935e-03    1.2506e-02
  233.5    3.1490e+00    3.3476e+00   -5.9347e-02   -4.5620e-03
  236.5    2.9905e+00    3.3476e+00   -1.0668e-01   -2.9965e-02
  239.5    2.7579e+00    3.3476e+00   -1.7618e-01   -4.4172e-02
  242.5    2.6242e+00    3.3476e+00   -2.1610e-01   -4.5849e-02
  245.5    2.6309e+00    3.3476e+00   -2.1409e-01   -3.4435e-02
  248.5    2.7220e+00    3.3476e+00   -1.8689e-01   -1.9596e-02
  251.5    2.9872e+00    3.3476e+00   -1.0765e-01   -6.7359e-03
  254.5    3.2679e+00    3.3476e+00   -2.3810e-02    7.2025e-03
  257.5    3.5979e+00    3.3476e+00    7.4759e-02    2.6838e-02
  260.5    3.8387e+00    3.3476e+00    1.4670e-01    6.2877e-02
  263.5    4.0782e+00    3.3476e+00    2.1824e-01    1.1053e-01
  266.5    4.2206e+00    3.3476e+00    2.6078e-01    1.4540e-01
  269.5    4.2759e+00    3.3476e+00    2.7729e-01    1.5625e-01
  272.5    4.2973e+00    3.3476e+00    2.8370e-01    1.4761e-01
  275.5    4.1368e+00    3.3476e+00    2.3573e-01    1.3318e-01
  278.5    3.8784e+00    3.3476e+00    1.5856e-01    7.6059e-02
  281.5    3.3603e+00    3.3476e+00    3.7977e-03    3.5218e-02
  284.5    2.9012e+00    3.3476e+00   -1.3335e-01   -1.4038e-02
  287.5    2.6220e+00    3.3476e+00   -2.1676e-01   -1.7085e-02
  290.5    2.4770e+00    3.3476e+00   -2.6008e-01   -4.0265e-02
  293.5    2.5405e+00    3.3476e+00   -2.4110e-01   -6.5796e-02
  296.5    2.7253e+00    3.3476e+00   -1.8591e-01   -1.0371e-01
  299.5    2.9440e+00    3.3476e+00   -1.2058e-01   -1.1083e-01
  302.5    3.1842e+00    3.3476e+00   -4.8803e-02   -9.4990e-02
  305.5    3.3007e+00    3.3476e+00   -1.4021e-02   -5.4152e-02
  308.5    3.3990e+00    3.3476e+00    1.5345e-02    1.5154e-02
  311.5    3.4500e+00    3.3476e+00    3.0591e-02    2.1197e-02
  314.5    3.4909e+00    3.3476e+00    4.2786e-02    1.8032e-02
  317.5    3.5433e+00    3.3476e+00    5.8448e-02    1.1580e-02
  320.5    3.5078e+00    3.3476e+00    4.7860e-02   -1.7601e-02
  323.5    3.3670e+00    3.3476e+00    5.7786e-03   -4.3236e-02
  326.5    3.1916e+00    3.3476e+00   -4.6613e-02   -4.9113e-02
  329.5    3.0193e+00    3.3476e+00   -9.8085e-02   -4.4945e-02
  332.5    2.8590e+00    3.3476e+00   -1.4595e-01   -3.2472e-02
  335.5    2.7681e+00    3.3476e+00   -1.7311e-01   -4.2738e-02
  338.5    2.7372e+00    3.3476e+00   -1.8235e-01   -5.0956e-02
  341.5    2.9622e+00    3.3476e+00   -1.1514e-01   -5.7035e-02
  344.5    3.3199e+00    3.3476e+00   -8.2804e-03   -2.9778e-02
  347.5    3.7260e+00    3.3476e+00    1.1303e-01    2.7789e-02
  350.5    4.0665e+00    3.3476e+00    2.1474e-01    8.4118e-02
  353.5    4.1825e+00    3.3476e+00    2.4940e-01    1.0643e-01
  356.5    4.0492e+00    3.3476e+00    2.0956e-01    9.4871e-02
  359.5    4.0520e+00    3.3476e+00    2.1042e-01    8.1013e-02
   2   120  15.82   33.0    1.0    0.0   ----------------------------
    2.5    4.8024e+00    3.4068e+00    4.0966e-01    1.9795e-02
    5.5    4.8205e+00    3.4068e+00    4.1496e-01    6.8721e-02
    8.5    4.7109e+00    3.4068e+00    3.8278e-01    8.6441e-02
   11.5    4.3084e+00    3.4068e+00    2.6464e-01    6.9374e-02
   14.5    3.7784e+00    3.4068e+00    1.0908e-01    2.5392e-02
   17.5    3.3840e+00    3.4068e+00   -6.6961e-03   -2.9918e-03
   20.5    3.1035e+00    3.4068e+00   -8.9037e-02   -1.9975e-02
   23.5    3.0431e+00    3.4068e+00   -1.0674e-01   -3.7602e-02
   26.5    3.0207e+00    3.4068e+00   -1.1333e-01   -5.7280e-02
   29.5    3.0137e+00    3.4068e+00   -1.1540e-01   -7.9958e-02
   32.5    3.0328e+00    3.4068e+00   -1.0979e-01   -8.0483e-02
   35.5    3.0155e+00    3.4068e+00   -1.1485e-01   -6.5392e-02
   38.5    3.0778e+00    3.4068e+00   -9.6567e-02   -4.0800e-02
   41.5    3.1830e+00    3.4068e+00   -6.5704e-02   -2.8692e-02
   44.5    3.1981e+00    3.4068e+00   -6.1250e-02   -2.2406e-02
   47.5    3.2023e+00    3.4068e+00   -6.0027e-02   -2.0490e-02
   50.5    3.1173e+00    3.4068e+00   -8.4964e-02   -1.7572e-02
   53.5    3.0582e+00    3.4068e+00   -1.0233e-01   -2.8306e-02
   56.5    2.9133e+00    3.4068e+00   -1.4485e-01   -4.6789e-02
   59.5    2.7643e+00    3.4068e+00   -1.8858e-01   -5.7478e-02
   62.5    2.6453e+00    3.4068e+00   -2.2351e-01   -5.0004e-02
   65.5    2.6048e+00    3.4068e+00   -2.3542e-01   -2.1764e-02
   68.5    2.6123e+00    3.4068e+00   -2.3320e-01   -2.7371e-05
   71.5    2.7278e+00    3.4068e+00   -1.9931e-01    1.9800e-02
   74.5    3.0221e+00    3.4068e+00   -1.1292e-01    2.6109e-02
   77.5    3.4446e+00    3.4068e+00    1.1088e-02    4.9371e-02
   80.5    4.0315e+00    3.4068e+00    1.8337e-01    6.7714e-02
   83.5    4.3541e+00    3.4068e+00    2.7807e-01    8.7031e-02
   86.5    4.4139e+00    3.4068e+00    2.9561e-01    1.0122e-01
   89.5    4.3654e+00    3.4068e+00    2.8137e-01    1.0517e-01
   92.5    4.3483e+00    3.4068e+00    2.7635e-01    1.0859e-01
   95.5    4.2964e+00    3.4068e+00    2.6112e-01    1.0698e-01
   98.5    4.1002e+00    3.4068e+00    2.0353e-01    1.0316e-01
  101.5    3.7939e+00    3.4068e+00    1.1363e-01    7.7403e-02
  104.5    3.5074e+00    3.4068e+00    2.9523e-02    3.0569e-02
  107.5    3.2258e+00    3.4068e+00   -5.3131e-02   -6.4170e-03
  110.5    2.9212e+00    3.4068e+00   -1.4255e-01   -2.2563e-02
  113.5    2.6754e+00    3.4068e+00   -2.1470e-01   -3.7033e-02
  116.5    2.6136e+00    3.4068e+00   -2.3284e-01   -5.8210e-02
  119.5    2.6732e+00    3.4068e+00   -2.1532e-01   -8.7822e-02
  122.5    2.9157e+00    3.4068e+00   -1.4416e-01   -9.6643e-02
  125.5    3.0707e+00    3.4068e+00   -9.8667e-02   -8.5553e-02
  128.5    3.1531e+00    3.4068e+00   -7.4473e-02   -1.9825e-02
  131.5    3.1427e+00    3.4068e+00   -7.7507e-02   -1.2086e-02
