   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on May 12, 2025

   initial angular momentum (li) = 0   msorder=  6   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  10.0,  11.0 and   3.04 angstrom
   cluster size= 188 atoms and spacings=  1.75  0.00  0.43  1.67 angs
   inner potential=  4.0 V  debye and sample temperature= 237, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-2 =   16.0   69.7 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    10  1200    1   10  120 1200  ncurve npoint nk ntheta nphi nangle
   1   120  15.82   30.0    1.0    0.0   ----------------------------
    2.5    4.0273e+00    3.1082e+00    2.9569e-01    7.9703e-02
    5.5    3.9930e+00    3.1082e+00    2.8465e-01    8.9743e-02
    8.5    3.8836e+00    3.1082e+00    2.4945e-01    8.1535e-02
   11.5    3.5847e+00    3.1082e+00    1.5328e-01    4.3014e-02
   14.5    3.1650e+00    3.1082e+00    1.8259e-02   -1.1028e-02
   17.5    2.8026e+00    3.1082e+00   -9.8325e-02   -5.6685e-02
   20.5    2.5698e+00    3.1082e+00   -1.7323e-01   -7.2070e-02
   23.5    2.4166e+00    3.1082e+00   -2.2252e-01   -7.8056e-02
   26.5    2.3921e+00    3.1082e+00   -2.3041e-01   -7.6352e-02
   29.5    2.4274e+00    3.1082e+00   -2.1904e-01   -8.7337e-02
   32.5    2.5383e+00    3.1082e+00   -1.8337e-01   -9.1148e-02
   35.5    2.7589e+00    3.1082e+00   -1.1238e-01   -8.1315e-02
   38.5    2.9647e+00    3.1082e+00   -4.6193e-02   -5.6700e-02
   41.5    3.1811e+00    3.1082e+00    2.3450e-02   -2.3083e-02
   44.5    3.2647e+00    3.1082e+00    5.0345e-02    1.6590e-03
   47.5    3.2735e+00    3.1082e+00    5.3164e-02    1.8323e-02
   50.5    3.2405e+00    3.1082e+00    4.2539e-02    1.2507e-02
   53.5    3.1517e+00    3.1082e+00    1.3985e-02   -4.5615e-03
   56.5    3.0089e+00    3.1082e+00   -3.1977e-02   -2.9961e-02
   59.5    2.8378e+00    3.1082e+00   -8.7010e-02   -4.4170e-02
   62.5    2.7415e+00    3.1082e+00   -1.1799e-01   -4.5849e-02
   65.5    2.6361e+00    3.1082e+00   -1.5191e-01   -3.4435e-02
   68.5    2.5446e+00    3.1082e+00   -1.8134e-01   -1.9596e-02
