   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Aug 18, 2025

   initial angular momentum (li) = 0   msorder=  6   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  11.0,  12.0 and   3.04 angstrom
   cluster size= 251 atoms and spacings=  1.75  0.05  0.06  0.82 angs
   inner potential=  4.0 V  debye and sample temperature= 104, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-2 =   16.0   69.7 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    20  2400    1   20  120 2400  ncurve npoint nk ntheta nphi nangle
   1   120   9.85   12.0    1.0    0.0   ----------------------------
    2.5    1.9869e+00    1.7704e+00    1.2226e-01   -1.8657e-02
    5.5    1.9809e+00    1.7704e+00    1.1889e-01   -1.5457e-02
    8.5    1.9643e+00    1.7704e+00    1.0953e-01    2.8135e-02
   11.5    1.9461e+00    1.7704e+00    9.9255e-02    4.0075e-02
   14.5    1.9348e+00    1.7704e+00    9.2870e-02    5.5110e-02
   17.5    1.9191e+00    1.7704e+00    8.4017e-02    6.4836e-02
   20.5    1.8856e+00    1.7704e+00    6.5059e-02    7.6141e-02
   23.5    1.8665e+00    1.7704e+00    5.4282e-02    4.7937e-02
   26.5    1.8290e+00    1.7704e+00    3.3089e-02    5.3844e-02
   29.5    1.7964e+00    1.7704e+00    1.4701e-02    4.8672e-02
   32.5    1.7633e+00    1.7704e+00   -4.0273e-03    5.1229e-02
   35.5    1.7321e+00    1.7704e+00   -2.1610e-02    4.7384e-02
   38.5    1.7028e+00    1.7704e+00   -3.8156e-02    4.0455e-02
   41.5    1.6675e+00    1.7704e+00   -5.8144e-02    2.5585e-02
   44.5    1.6409e+00    1.7704e+00   -7.3168e-02    1.5502e-02
   47.5    1.6272e+00    1.7704e+00   -8.0881e-02   -2.3698e-03
   50.5    1.6047e+00    1.7704e+00   -9.3575e-02   -1.9977e-02
   53.5    1.5935e+00    1.7704e+00   -9.9923e-02   -3.3462e-02
   56.5    1.5989e+00    1.7704e+00   -9.6857e-02   -3.8910e-02
