   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ag(111)-3d
 calculated by Guilherme (IFGW) on Apr  3, 2025

   initial angular momentum (li) = 2   msorder=  8   raorder= 4
   photon polarization angle (polar,azimuth) =(  30.0   0.0 ) (deg)

   radius, depth and lattice constant=   9.0,  25.0 and   4.09 angstrom
   cluster size= 256 atoms and spacings=  0.00  2.35  2.35  2.35 angs
   inner potential=  0.1 V  debye and sample temperature= 104, 300 K
   number of valence electrons=  11     bandgap energy=   0.00 eV
   density of bulk=  10.50 g/cm3     molecular weight= 107.87 amu
   effective weight=  107.9 amu
   half aperture angle=    1.5 deg            pathcut=     0.0050

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    18   720    1   18   40  960  ncurve npoint nk ntheta nphi nangle
   1    40  16.66   18.0    1.0    0.0   ----------------------------
  111.0    2.0566e-02    1.4008e-02    4.6821e-01   -2.2243e-02
  114.0    2.0226e-02    1.4008e-02    4.4390e-01   -4.0333e-02
  117.0    1.9206e-02    1.4008e-02    3.7107e-01   -4.3791e-02
  120.0    1.9130e-02    1.4008e-02    3.6568e-01   -2.6295e-02
  123.0    1.9194e-02    1.4008e-02    3.7020e-01    2.4272e-03
  126.0    2.0273e-02    1.4008e-02    4.4727e-01    3.8032e-02
  129.0    2.0689e-02    1.4008e-02    4.7695e-01    5.9663e-02
  132.0    2.0979e-02    1.4008e-02    4.9764e-01    6.4723e-02
  135.0    2.1374e-02    1.4008e-02    5.2589e-01    5.6807e-02
  138.0    2.0809e-02    1.4008e-02    4.8551e-01    4.5085e-02
  141.0    1.9149e-02    1.4008e-02    3.6702e-01    3.4281e-02
  144.0    1.5808e-02    1.4008e-02    1.2848e-01    2.6374e-02
  147.0    1.2644e-02    1.4008e-02   -9.7387e-02    1.0205e-02
  150.0    1.0198e-02    1.4008e-02   -2.7199e-01    1.5680e-03
  153.0    9.2379e-03    1.4008e-02   -3.4052e-01   -1.2532e-02
  156.0    9.4022e-03    1.4008e-02   -3.2880e-01   -2.0286e-02
  159.0    9.6525e-03    1.4008e-02   -3.1093e-01   -3.6486e-02
  162.0    9.7950e-03    1.4008e-02   -3.0075e-01   -6.0136e-02
  165.0    9.4412e-03    1.4008e-02   -3.2601e-01   -7.9725e-02
  168.0    9.3197e-03    1.4008e-02   -3.3468e-01   -8.9089e-02
