   323    17    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 experimental data for Pd 3d3/2 from W(100)  excited with hv=1810eV

 provided by Pancotti et al. (LNLS in 12, June 2007)
   intial angular momentum (l) = 2
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K

   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      18    720       1      18     40    720
       1     40      9.85000      18      1.00000      0.00000
      111.000      130670.      111947.   -0.0217681
      114.000      127811.      111947.   -0.0425049
      117.000      126715.      111947.   -0.0469246
      120.000      128038.      111947.   -0.0301990
      123.000      131440.      111947.    0.0053817
      126.000      133937.      111947.    0.0372519
      129.000      135537.      111947.    0.0652579
      132.000      134229.      111947.    0.0729969
      135.000      129683.      111947.    0.0564355
      138.000      125572.      111947.    0.0442913
      141.000      121200.      111947.    0.0305372
      144.000      117363.      111947.    0.0216062
      147.000      114884.      111947.    0.0248168
      150.000      108849.      111947.   -0.0042275
      153.000      105433.      111947.   -0.0104399
      156.000      101484.      111947.   -0.0227270
      159.000      97247.3      111947.   -0.0394961
      162.000      93036.8      111947.   -0.0582334
      165.000      88008.7      111947.   -0.0881189
      168.000      85224.2      111947.   -0.0977341
      171.000      84899.8      111947.   -0.0837039
      174.000      86345.7      111947.   -0.0527175
      177.000      90131.4      111947.    0.0016726
      180.000      91837.5      111947.    0.0297551
      183.000      92522.3      111947.    0.0419376
      186.000      89082.8      111947.    0.0024745
      189.000      86758.2      111947.   -0.0297262
      192.000      87214.8      111947.   -0.0362659
      195.000      91461.1      111947.   -0.0074017
      198.000      95898.7      111947.    0.0159420
      201.000      101269.      111947.    0.0409272
      204.000      106702.      111947.    0.0578961
      207.000      111431.      111947.    0.0596485
      210.000      115214.      111947.    0.0453872
      213.000      120425.      111947.    0.0375760
      216.000      126270.      111947.    0.0286709
      219.000      133866.      111947.    0.0272759
      222.000      139513.      111947.    0.0052372
      225.000      143940.      111947.   -0.0288227
      228.000      146744.      111947.   -0.0749173
       2     40      9.85000      21      1.00000      0.00000
      111.000      102450.      104670.    0.0337959
      114.000      100382.      104670.   -0.0044952
      117.000      98922.2      104670.   -0.0325694
      120.000      100491.      104670.   -0.0279054
      123.000      101984.      104670.   -0.0215074
      126.000      104945.      104670.    0.0011514
      129.000      107228.      104670.    0.0193248
      132.000      106330.      104670.    0.0092289
      135.000      102727.      104670.   -0.0247595
      138.000      100092.      104670.   -0.0480947
      141.000      100976.      104670.   -0.0366933
      144.000      104665.      104670.    0.0027844
      147.000      109239.      104670.    0.0521054
      150.000      111381.      104670.    0.0791936
      153.000      111687.      104670.    0.0892929
      156.000      110607.      104670.    0.0862564
      159.000      107882.      104670.    0.0670272
      162.000      106183.      104670.    0.0576222
      165.000      103161.      104670.    0.0344728
      168.000      99803.2      104670.    0.0070508
      171.000      93474.4      104670.   -0.0516190
      174.000      86184.3      104670.   -0.1216296
      177.000      81817.8      104670.   -0.1633767
      180.000      81796.3      104670.   -0.1620479
      183.000      85249.0      104670.   -0.1265296
      186.000      89923.1      104670.   -0.0802366
      189.000      95848.9      104670.   -0.0233967
      192.000      102158.      104670.    0.0344841
      195.000      105469.      104670.    0.0588057
      198.000      108429.      104670.    0.0762821
      201.000      111616.      104670.    0.0924371
      204.000      113035.      104670.    0.0877449
      207.000      115824.      104670.    0.0926761
      210.000      114666.      104670.    0.0573597
      213.000      113096.      104670.    0.0163800
      216.000      112254.      104670.   -0.0196618
      219.000      113057.      104670.   -0.0432192
      222.000      117256.      104670.   -0.0410141
      225.000      125242.      104670.   -0.0126635
      228.000      129262.      104670.   -0.0201280
       3     40      9.85000      24      1.00000      0.00000
      111.000      87580.4      102340.    0.0458267
      114.000      85930.1      102340.    0.0095864
      117.000      85557.3      102340.   -0.0106861
      120.000      85764.0      102340.   -0.0236507
      123.000      86741.7      102340.   -0.0274636
      126.000      87903.7      102340.   -0.0289828
      129.000      92031.5      102340.    0.0020080
      132.000      92850.1      102340.   -0.0031872
      135.000      91513.6      102340.   -0.0308232
      138.000      90491.6      102340.   -0.0541789
      141.000      93657.3      102340.   -0.0334366
      144.000      98661.4      102340.    0.0058555
      147.000      101581.      102340.    0.0235721
      150.000      104337.      102340.    0.0396507
      153.000      106746.      102340.    0.0523841
      156.000      109493.      102340.    0.0686165
      159.000      110783.      102340.    0.0709422
      162.000      112179.      102340.    0.0747680
      165.000      116181.      102340.    0.1038329
      168.000      115011.      102340.    0.0842703
      171.000      108988.      102340.    0.0201822
      174.000      98381.5      102340.   -0.0850619
      177.000      89134.5      102340.   -0.1758843
      180.000      87225.1      102340.   -0.1976927
      183.000      91237.9      102340.   -0.1645273
      186.000      99679.4      102340.   -0.0906536
      189.000      109968.      102340.    0.0001750
      192.000      118212.      102340.    0.0727151
      195.000      117684.      102340.    0.0663186
      198.000      117759.      102340.    0.0662610
      201.000      117273.      102340.    0.0620073
      204.000      117058.      102340.    0.0611125
      207.000      115159.      102340.    0.0458577
      210.000      114535.      102340.    0.0431064
      213.000      112666.      102340.    0.0299535
      216.000      107724.      102340.   -0.0105360
      219.000      102867.      102340.   -0.0496512
      222.000      102262.      102340.   -0.0487144
      225.000      104947.      102340.   -0.0158723
